scenario_id,unit_id,salt,candidate_id,block_index,order_position,permutation_id,latency_ms,result_digest
p0.001-q1.000,p0.001-q1.000-s5101,5101,eligible_dimension_first,0,0,eligible_dimension_first->governed_fact_first->partial_aggregate_first,257.2585,fe4d80c15d217d4ab3a50c32918533f624ec36eb837306897fcc0fa762b92144
p0.001-q1.000,p0.001-q1.000-s5101,5101,governed_fact_first,0,1,eligible_dimension_first->governed_fact_first->partial_aggregate_first,227.4192,fe4d80c15d217d4ab3a50c32918533f624ec36eb837306897fcc0fa762b92144
p0.001-q1.000,p0.001-q1.000-s5101,5101,partial_aggregate_first,0,2,eligible_dimension_first->governed_fact_first->partial_aggregate_first,183.835,fe4d80c15d217d4ab3a50c32918533f624ec36eb837306897fcc0fa762b92144
p0.001-q1.000,p0.001-q1.000-s5101,5101,governed_fact_first,1,0,governed_fact_first->eligible_dimension_first->partial_aggregate_first,187.76,fe4d80c15d217d4ab3a50c32918533f624ec36eb837306897fcc0fa762b92144
p0.001-q1.000,p0.001-q1.000-s5101,5101,eligible_dimension_first,1,1,governed_fact_first->eligible_dimension_first->partial_aggregate_first,280.394,fe4d80c15d217d4ab3a50c32918533f624ec36eb837306897fcc0fa762b92144
p0.001-q1.000,p0.001-q1.000-s5101,5101,partial_aggregate_first,1,2,governed_fact_first->eligible_dimension_first->partial_aggregate_first,303.3414,fe4d80c15d217d4ab3a50c32918533f624ec36eb837306897fcc0fa762b92144
p0.001-q1.000,p0.001-q1.000-s5101,5101,eligible_dimension_first,2,0,eligible_dimension_first->governed_fact_first->partial_aggregate_first,356.9465,fe4d80c15d217d4ab3a50c32918533f624ec36eb837306897fcc0fa762b92144
p0.001-q1.000,p0.001-q1.000-s5101,5101,governed_fact_first,2,1,eligible_dimension_first->governed_fact_first->partial_aggregate_first,227.2164,fe4d80c15d217d4ab3a50c32918533f624ec36eb837306897fcc0fa762b92144
p0.001-q1.000,p0.001-q1.000-s5101,5101,partial_aggregate_first,2,2,eligible_dimension_first->governed_fact_first->partial_aggregate_first,246.6255,fe4d80c15d217d4ab3a50c32918533f624ec36eb837306897fcc0fa762b92144
p0.001-q1.000,p0.001-q1.000-s5101,5101,eligible_dimension_first,3,0,eligible_dimension_first->partial_aggregate_first->governed_fact_first,275.2126,fe4d80c15d217d4ab3a50c32918533f624ec36eb837306897fcc0fa762b92144
