scenario_id,unit_id,policy_selectivity,query_selectivity,salt,candidate_id,block_index,order_position,permutation_id,latency_ms,result_digest
p0.002-q0.900,p0.002-q0.900-s6101,0.002,0.9,6101,governed_fact_first,0,0,governed_fact_first->partial_aggregate_first->eligible_dimension_first,1785.679,349e0494c23f0bfccb3f56c7a122958a84c852a3ce7df80423439b4120f11505
p0.002-q0.900,p0.002-q0.900-s6101,0.002,0.9,6101,partial_aggregate_first,0,1,governed_fact_first->partial_aggregate_first->eligible_dimension_first,1610.1276,349e0494c23f0bfccb3f56c7a122958a84c852a3ce7df80423439b4120f11505
p0.002-q0.900,p0.002-q0.900-s6101,0.002,0.9,6101,eligible_dimension_first,0,2,governed_fact_first->partial_aggregate_first->eligible_dimension_first,3015.8343,349e0494c23f0bfccb3f56c7a122958a84c852a3ce7df80423439b4120f11505
p0.002-q0.900,p0.002-q0.900-s6101,0.002,0.9,6101,governed_fact_first,1,0,governed_fact_first->eligible_dimension_first->partial_aggregate_first,2511.5598,349e0494c23f0bfccb3f56c7a122958a84c852a3ce7df80423439b4120f11505
p0.002-q0.900,p0.002-q0.900-s6101,0.002,0.9,6101,eligible_dimension_first,1,1,governed_fact_first->eligible_dimension_first->partial_aggregate_first,3025.0875,349e0494c23f0bfccb3f56c7a122958a84c852a3ce7df80423439b4120f11505
p0.002-q0.900,p0.002-q0.900-s6101,0.002,0.9,6101,partial_aggregate_first,1,2,governed_fact_first->eligible_dimension_first->partial_aggregate_first,1546.9735,349e0494c23f0bfccb3f56c7a122958a84c852a3ce7df80423439b4120f11505
p0.002-q0.900,p0.002-q0.900-s6101,0.002,0.9,6101,partial_aggregate_first,2,0,partial_aggregate_first->governed_fact_first->eligible_dimension_first,1711.5488,349e0494c23f0bfccb3f56c7a122958a84c852a3ce7df80423439b4120f11505
p0.002-q0.900,p0.002-q0.900-s6101,0.002,0.9,6101,governed_fact_first,2,1,partial_aggregate_first->governed_fact_first->eligible_dimension_first,1694.3381,349e0494c23f0bfccb3f56c7a122958a84c852a3ce7df80423439b4120f11505
p0.002-q0.900,p0.002-q0.900-s6101,0.002,0.9,6101,eligible_dimension_first,2,2,partial_aggregate_first->governed_fact_first->eligible_dimension_first,3291.7499,349e0494c23f0bfccb3f56c7a122958a84c852a3ce7df80423439b4120f11505
p0.002-q0.900,p0.002-q0.900-s6101,0.002,0.9,6101,eligible_dimension_first,3,0,eligible_dimension_first->partial_aggregate_first->governed_fact_first,2988.802,349e0494c23f0bfccb3f56c7a122958a84c852a3ce7df80423439b4120f11505
p0.002-q0.900,p0.002-q0.900-s6101,0.002,0.9,6101,partial_aggregate_first,3,1,eligible_dimension_first->partial_aggregate_first->governed_fact_first,1583.735,349e0494c23f0bfccb3f56c7a122958a84c852a3ce7df80423439b4120f11505
