case_id,case_category,case_kind,scenario,plan_path,policy_path,catalog_path,expected_status,expected_reason_codes
P0-001,basic_accept,validation,baseline,examples/plans/accept_earthquakes.json,examples/policies/research_policy.json,examples/catalogs/minimal_catalog.json,ACCEPT,
P0-002,deterministic_rewrite,validation,baseline,examples/plans/rewrite_precision.json,examples/policies/research_policy.json,examples/catalogs/minimal_catalog.json,REWRITE,LINEAGE_REQUIRED|SPATIAL_PRECISION_EXCEEDED
P0-003,information_missing,validation,baseline,examples/plans/clarify_purpose.json,examples/policies/research_policy.json,examples/catalogs/minimal_catalog.json,CLARIFY,PURPOSE_MISSING
P0-004,policy_reject,validation,baseline,examples/plans/reject_public_facilities.json,examples/policies/research_policy.json,examples/catalogs/minimal_catalog.json,REJECT,POLICY_DENIED
P0-005,fault_unknown_dataset,validation,unknown_dataset,examples/plans/accept_earthquakes.json,examples/policies/research_policy.json,examples/catalogs/minimal_catalog.json,REJECT,UNKNOWN_DATASET
P0-006,field_semantics,validation,masked_filter,examples/plans/accept_earthquakes.json,examples/policies/research_policy.json,examples/catalogs/minimal_catalog.json,REJECT,MASKED_FIELD_USED_SEMANTICALLY
P0-007,certificate_valid,certificate,baseline,examples/plans/rewrite_precision.json,examples/policies/research_policy.json,examples/catalogs/minimal_catalog.json,PARTIAL,
P0-008,lineage_evidence,certificate,weak_lineage,examples/plans/rewrite_precision.json,examples/policies/research_policy.json,examples/catalogs/minimal_catalog.json,REJECT,LINEAGE_LEVEL_INSUFFICIENT
P0-009,certificate_event,certificate,missing_lineage_event,examples/plans/rewrite_precision.json,examples/policies/research_policy.json,examples/catalogs/minimal_catalog.json,REJECT,CERTIFICATE_EVENT_MISSING
P0-010,physical_dag,certificate,dependency_violation,examples/plans/rewrite_precision.json,examples/policies/research_policy.json,examples/catalogs/minimal_catalog.json,REJECT,CERTIFICATE_OPERATOR_DEPENDENCY_VIOLATION
