block_index,block_id,permutation_id,order_position,candidate_id,approved_strategy_id,started_at_utc,client_materialization_latency_ms,process_cpu_time_ms,output_row_count,semantic_result_digest
0,mask-join-block-000,late_mask_fused -> early_mask_before_join,0,late_mask_fused,fused,2026-07-19T05:23:49.136874+00:00,876.8748,890.625,106251,sha256:b0ffdee90ec524b757ff5d2bcc7553fdb6f2088e1a3711fde87d52603b9a98e1
0,mask-join-block-000,late_mask_fused -> early_mask_before_join,1,early_mask_before_join,place-002-mask-after-bts-mp-project,2026-07-19T05:23:51.080332+00:00,975.234,1015.625,106251,sha256:b0ffdee90ec524b757ff5d2bcc7553fdb6f2088e1a3711fde87d52603b9a98e1
1,mask-join-block-001,early_mask_before_join -> late_mask_fused,0,early_mask_before_join,place-002-mask-after-bts-mp-project,2026-07-19T05:23:53.457759+00:00,961.654,1062.5,106251,sha256:b0ffdee90ec524b757ff5d2bcc7553fdb6f2088e1a3711fde87d52603b9a98e1
1,mask-join-block-001,early_mask_before_join -> late_mask_fused,1,late_mask_fused,fused,2026-07-19T05:23:55.502576+00:00,952.4687,1031.25,106251,sha256:b0ffdee90ec524b757ff5d2bcc7553fdb6f2088e1a3711fde87d52603b9a98e1
2,mask-join-block-002,late_mask_fused -> early_mask_before_join,0,late_mask_fused,fused,2026-07-19T05:23:57.485581+00:00,688.0173,890.625,106251,sha256:b0ffdee90ec524b757ff5d2bcc7553fdb6f2088e1a3711fde87d52603b9a98e1
2,mask-join-block-002,late_mask_fused -> early_mask_before_join,1,early_mask_before_join,place-002-mask-after-bts-mp-project,2026-07-19T05:23:58.914827+00:00,631.5123,718.75,106251,sha256:b0ffdee90ec524b757ff5d2bcc7553fdb6f2088e1a3711fde87d52603b9a98e1
3,mask-join-block-003,early_mask_before_join -> late_mask_fused,0,early_mask_before_join,place-002-mask-after-bts-mp-project,2026-07-19T05:24:00.453570+00:00,817.0275,1031.25,106251,sha256:b0ffdee90ec524b757ff5d2bcc7553fdb6f2088e1a3711fde87d52603b9a98e1
3,mask-join-block-003,early_mask_before_join -> late_mask_fused,1,late_mask_fused,fused,2026-07-19T05:24:02.201690+00:00,747.8651,890.625,106251,sha256:b0ffdee90ec524b757ff5d2bcc7553fdb6f2088e1a3711fde87d52603b9a98e1
4,mask-join-block-004,late_mask_fused -> early_mask_before_join,0,late_mask_fused,fused,2026-07-19T05:24:03.847561+00:00,787.6939,812.5,106251,sha256:b0ffdee90ec524b757ff5d2bcc7553fdb6f2088e1a3711fde87d52603b9a98e1
4,mask-join-block-004,late_mask_fused -> early_mask_before_join,1,early_mask_before_join,place-002-mask-after-bts-mp-project,2026-07-19T05:24:05.545639+00:00,652.1903,796.875,106251,sha256:b0ffdee90ec524b757ff5d2bcc7553fdb6f2088e1a3711fde87d52603b9a98e1
5,mask-join-block-005,early_mask_before_join -> late_mask_fused,0,early_mask_before_join,place-002-mask-after-bts-mp-project,2026-07-19T05:24:07.016711+00:00,519.031,609.375,106251,sha256:b0ffdee90ec524b757ff5d2bcc7553fdb6f2088e1a3711fde87d52603b9a98e1
5,mask-join-block-005,early_mask_before_join -> late_mask_fused,1,late_mask_fused,fused,2026-07-19T05:24:08.433431+00:00,793.0885,843.75,106251,sha256:b0ffdee90ec524b757ff5d2bcc7553fdb6f2088e1a3711fde87d52603b9a98e1
6,mask-join-block-006,early_mask_before_join -> late_mask_fused,0,early_mask_before_join,place-002-mask-after-bts-mp-project,2026-07-19T05:24:10.194935+00:00,728.0094,781.25,106251,sha256:b0ffdee90ec524b757ff5d2bcc7553fdb6f2088e1a3711fde87d52603b9a98e1
6,mask-join-block-006,early_mask_before_join -> late_mask_fused,1,late_mask_fused,fused,2026-07-19T05:24:11.851994+00:00,815.1232,859.375,106251,sha256:b0ffdee90ec524b757ff5d2bcc7553fdb6f2088e1a3711fde87d52603b9a98e1
7,mask-join-block-007,late_mask_fused -> early_mask_before_join,0,late_mask_fused,fused,2026-07-19T05:24:13.660258+00:00,616.9376,687.5,106251,sha256:b0ffdee90ec524b757ff5d2bcc7553fdb6f2088e1a3711fde87d52603b9a98e1
7,mask-join-block-007,late_mask_fused -> early_mask_before_join,1,early_mask_before_join,place-002-mask-after-bts-mp-project,2026-07-19T05:24:15.088327+00:00,734.3302,765.625,106251,sha256:b0ffdee90ec524b757ff5d2bcc7553fdb6f2088e1a3711fde87d52603b9a98e1
8,mask-join-block-008,late_mask_fused -> early_mask_before_join,0,late_mask_fused,fused,2026-07-19T05:24:16.827753+00:00,975.6945,906.25,106251,sha256:b0ffdee90ec524b757ff5d2bcc7553fdb6f2088e1a3711fde87d52603b9a98e1
8,mask-join-block-008,late_mask_fused -> early_mask_before_join,1,early_mask_before_join,place-002-mask-after-bts-mp-project,2026-07-19T05:24:19.339249+00:00,1211.9907,1140.625,106251,sha256:b0ffdee90ec524b757ff5d2bcc7553fdb6f2088e1a3711fde87d52603b9a98e1
9,mask-join-block-009,early_mask_before_join -> late_mask_fused,0,early_mask_before_join,place-002-mask-after-bts-mp-project,2026-07-19T05:24:22.139380+00:00,963.2669,1031.25,106251,sha256:b0ffdee90ec524b757ff5d2bcc7553fdb6f2088e1a3711fde87d52603b9a98e1
9,mask-join-block-009,early_mask_before_join -> late_mask_fused,1,late_mask_fused,fused,2026-07-19T05:24:24.141154+00:00,690.1351,843.75,106251,sha256:b0ffdee90ec524b757ff5d2bcc7553fdb6f2088e1a3711fde87d52603b9a98e1
10,mask-join-block-010,early_mask_before_join -> late_mask_fused,0,early_mask_before_join,place-002-mask-after-bts-mp-project,2026-07-19T05:24:25.921183+00:00,756.4213,812.5,106251,sha256:b0ffdee90ec524b757ff5d2bcc7553fdb6f2088e1a3711fde87d52603b9a98e1
10,mask-join-block-010,early_mask_before_join -> late_mask_fused,1,late_mask_fused,fused,2026-07-19T05:24:27.555075+00:00,651.3803,687.5,106251,sha256:b0ffdee90ec524b757ff5d2bcc7553fdb6f2088e1a3711fde87d52603b9a98e1
11,mask-join-block-011,late_mask_fused -> early_mask_before_join,0,late_mask_fused,fused,2026-07-19T05:24:29.123295+00:00,1082.6348,1156.25,106251,sha256:b0ffdee90ec524b757ff5d2bcc7553fdb6f2088e1a3711fde87d52603b9a98e1
11,mask-join-block-011,late_mask_fused -> early_mask_before_join,1,early_mask_before_join,place-002-mask-after-bts-mp-project,2026-07-19T05:24:31.834066+00:00,977.319,921.875,106251,sha256:b0ffdee90ec524b757ff5d2bcc7553fdb6f2088e1a3711fde87d52603b9a98e1
12,mask-join-block-012,late_mask_fused -> early_mask_before_join,0,late_mask_fused,fused,2026-07-19T05:24:34.055648+00:00,981.7759,953.125,106251,sha256:b0ffdee90ec524b757ff5d2bcc7553fdb6f2088e1a3711fde87d52603b9a98e1
