block_index,block_id,permutation_id,order_position,candidate_id,started_at_utc,client_materialization_latency_ms,process_cpu_time_ms,output_row_count,semantic_result_digest
0,bts-multijoin-block-000,fused -> materialize-after-bts-mj-origin-join -> materialize-after-bts-mj-filter -> materialize-after-bts-mj-carrier-join,0,fused,2026-07-19T06:12:40.060146+00:00,79.8801,187.5,929,sha256:2e28043d2ee9ea90a8bff098db806a2aa4d9ad8c5140a47f2fc1fb5ee2222562
0,bts-multijoin-block-000,fused -> materialize-after-bts-mj-origin-join -> materialize-after-bts-mj-filter -> materialize-after-bts-mj-carrier-join,1,materialize-after-bts-mj-origin-join,2026-07-19T06:12:40.152145+00:00,112.1652,281.25,929,sha256:2e28043d2ee9ea90a8bff098db806a2aa4d9ad8c5140a47f2fc1fb5ee2222562
0,bts-multijoin-block-000,fused -> materialize-after-bts-mj-origin-join -> materialize-after-bts-mj-filter -> materialize-after-bts-mj-carrier-join,2,materialize-after-bts-mj-filter,2026-07-19T06:12:40.275828+00:00,116.646,218.75,929,sha256:2e28043d2ee9ea90a8bff098db806a2aa4d9ad8c5140a47f2fc1fb5ee2222562
0,bts-multijoin-block-000,fused -> materialize-after-bts-mj-origin-join -> materialize-after-bts-mj-filter -> materialize-after-bts-mj-carrier-join,3,materialize-after-bts-mj-carrier-join,2026-07-19T06:12:40.400750+00:00,135.9666,281.25,929,sha256:2e28043d2ee9ea90a8bff098db806a2aa4d9ad8c5140a47f2fc1fb5ee2222562
1,bts-multijoin-block-001,materialize-after-bts-mj-carrier-join -> materialize-after-bts-mj-origin-join -> fused -> materialize-after-bts-mj-filter,0,materialize-after-bts-mj-carrier-join,2026-07-19T06:12:40.553559+00:00,143.2585,281.25,929,sha256:2e28043d2ee9ea90a8bff098db806a2aa4d9ad8c5140a47f2fc1fb5ee2222562
1,bts-multijoin-block-001,materialize-after-bts-mj-carrier-join -> materialize-after-bts-mj-origin-join -> fused -> materialize-after-bts-mj-filter,1,materialize-after-bts-mj-origin-join,2026-07-19T06:12:40.719547+00:00,130.9365,296.875,929,sha256:2e28043d2ee9ea90a8bff098db806a2aa4d9ad8c5140a47f2fc1fb5ee2222562
1,bts-multijoin-block-001,materialize-after-bts-mj-carrier-join -> materialize-after-bts-mj-origin-join -> fused -> materialize-after-bts-mj-filter,2,fused,2026-07-19T06:12:40.861543+00:00,116.8107,171.875,929,sha256:2e28043d2ee9ea90a8bff098db806a2aa4d9ad8c5140a47f2fc1fb5ee2222562
1,bts-multijoin-block-001,materialize-after-bts-mj-carrier-join -> materialize-after-bts-mj-origin-join -> fused -> materialize-after-bts-mj-filter,3,materialize-after-bts-mj-filter,2026-07-19T06:12:40.987601+00:00,131.2441,265.625,929,sha256:2e28043d2ee9ea90a8bff098db806a2aa4d9ad8c5140a47f2fc1fb5ee2222562
2,bts-multijoin-block-002,fused -> materialize-after-bts-mj-carrier-join -> materialize-after-bts-mj-filter -> materialize-after-bts-mj-origin-join,0,fused,2026-07-19T06:12:41.134602+00:00,86.8222,156.25,929,sha256:2e28043d2ee9ea90a8bff098db806a2aa4d9ad8c5140a47f2fc1fb5ee2222562
2,bts-multijoin-block-002,fused -> materialize-after-bts-mj-carrier-join -> materialize-after-bts-mj-filter -> materialize-after-bts-mj-origin-join,1,materialize-after-bts-mj-carrier-join,2026-07-19T06:12:41.235849+00:00,126.5149,234.375,929,sha256:2e28043d2ee9ea90a8bff098db806a2aa4d9ad8c5140a47f2fc1fb5ee2222562
2,bts-multijoin-block-002,fused -> materialize-after-bts-mj-carrier-join -> materialize-after-bts-mj-filter -> materialize-after-bts-mj-origin-join,2,materialize-after-bts-mj-filter,2026-07-19T06:12:41.375192+00:00,123.0444,187.5,929,sha256:2e28043d2ee9ea90a8bff098db806a2aa4d9ad8c5140a47f2fc1fb5ee2222562
2,bts-multijoin-block-002,fused -> materialize-after-bts-mj-carrier-join -> materialize-after-bts-mj-filter -> materialize-after-bts-mj-origin-join,3,materialize-after-bts-mj-origin-join,2026-07-19T06:12:41.504198+00:00,100.1939,281.25,929,sha256:2e28043d2ee9ea90a8bff098db806a2aa4d9ad8c5140a47f2fc1fb5ee2222562
3,bts-multijoin-block-003,materialize-after-bts-mj-filter -> materialize-after-bts-mj-origin-join -> fused -> materialize-after-bts-mj-carrier-join,0,materialize-after-bts-mj-filter,2026-07-19T06:12:41.618389+00:00,100.5786,218.75,929,sha256:2e28043d2ee9ea90a8bff098db806a2aa4d9ad8c5140a47f2fc1fb5ee2222562
3,bts-multijoin-block-003,materialize-after-bts-mj-filter -> materialize-after-bts-mj-origin-join -> fused -> materialize-after-bts-mj-carrier-join,1,materialize-after-bts-mj-origin-join,2026-07-19T06:12:41.725394+00:00,74.0557,218.75,929,sha256:2e28043d2ee9ea90a8bff098db806a2aa4d9ad8c5140a47f2fc1fb5ee2222562
3,bts-multijoin-block-003,materialize-after-bts-mj-filter -> materialize-after-bts-mj-origin-join -> fused -> materialize-after-bts-mj-carrier-join,2,fused,2026-07-19T06:12:41.807827+00:00,71.6662,187.5,929,sha256:2e28043d2ee9ea90a8bff098db806a2aa4d9ad8c5140a47f2fc1fb5ee2222562
3,bts-multijoin-block-003,materialize-after-bts-mj-filter -> materialize-after-bts-mj-origin-join -> fused -> materialize-after-bts-mj-carrier-join,3,materialize-after-bts-mj-carrier-join,2026-07-19T06:12:41.887826+00:00,97.2201,203.125,929,sha256:2e28043d2ee9ea90a8bff098db806a2aa4d9ad8c5140a47f2fc1fb5ee2222562
4,bts-multijoin-block-004,materialize-after-bts-mj-filter -> fused -> materialize-after-bts-mj-origin-join -> materialize-after-bts-mj-carrier-join,0,materialize-after-bts-mj-filter,2026-07-19T06:12:41.997118+00:00,88.8542,265.625,929,sha256:2e28043d2ee9ea90a8bff098db806a2aa4d9ad8c5140a47f2fc1fb5ee2222562
4,bts-multijoin-block-004,materialize-after-bts-mj-filter -> fused -> materialize-after-bts-mj-origin-join -> materialize-after-bts-mj-carrier-join,1,fused,2026-07-19T06:12:42.097117+00:00,71.5308,156.25,929,sha256:2e28043d2ee9ea90a8bff098db806a2aa4d9ad8c5140a47f2fc1fb5ee2222562
4,bts-multijoin-block-004,materialize-after-bts-mj-filter -> fused -> materialize-after-bts-mj-origin-join -> materialize-after-bts-mj-carrier-join,2,materialize-after-bts-mj-origin-join,2026-07-19T06:12:42.175118+00:00,68.5771,187.5,929,sha256:2e28043d2ee9ea90a8bff098db806a2aa4d9ad8c5140a47f2fc1fb5ee2222562
4,bts-multijoin-block-004,materialize-after-bts-mj-filter -> fused -> materialize-after-bts-mj-origin-join -> materialize-after-bts-mj-carrier-join,3,materialize-after-bts-mj-carrier-join,2026-07-19T06:12:42.249766+00:00,94.806,250.0,929,sha256:2e28043d2ee9ea90a8bff098db806a2aa4d9ad8c5140a47f2fc1fb5ee2222562
5,bts-multijoin-block-005,fused -> materialize-after-bts-mj-filter -> materialize-after-bts-mj-carrier-join -> materialize-after-bts-mj-origin-join,0,fused,2026-07-19T06:12:42.352767+00:00,61.4837,203.125,929,sha256:2e28043d2ee9ea90a8bff098db806a2aa4d9ad8c5140a47f2fc1fb5ee2222562
5,bts-multijoin-block-005,fused -> materialize-after-bts-mj-filter -> materialize-after-bts-mj-carrier-join -> materialize-after-bts-mj-origin-join,1,materialize-after-bts-mj-filter,2026-07-19T06:12:42.419330+00:00,82.6241,140.625,929,sha256:2e28043d2ee9ea90a8bff098db806a2aa4d9ad8c5140a47f2fc1fb5ee2222562
5,bts-multijoin-block-005,fused -> materialize-after-bts-mj-filter -> materialize-after-bts-mj-carrier-join -> materialize-after-bts-mj-origin-join,2,materialize-after-bts-mj-carrier-join,2026-07-19T06:12:42.512331+00:00,88.4956,250.0,929,sha256:2e28043d2ee9ea90a8bff098db806a2aa4d9ad8c5140a47f2fc1fb5ee2222562
5,bts-multijoin-block-005,fused -> materialize-after-bts-mj-filter -> materialize-after-bts-mj-carrier-join -> materialize-after-bts-mj-origin-join,3,materialize-after-bts-mj-origin-join,2026-07-19T06:12:42.611336+00:00,79.1046,218.75,929,sha256:2e28043d2ee9ea90a8bff098db806a2aa4d9ad8c5140a47f2fc1fb5ee2222562
6,bts-multijoin-block-006,materialize-after-bts-mj-origin-join -> materialize-after-bts-mj-carrier-join -> fused -> materialize-after-bts-mj-filter,0,materialize-after-bts-mj-origin-join,2026-07-19T06:12:42.701016+00:00,79.6902,234.375,929,sha256:2e28043d2ee9ea90a8bff098db806a2aa4d9ad8c5140a47f2fc1fb5ee2222562
6,bts-multijoin-block-006,materialize-after-bts-mj-origin-join -> materialize-after-bts-mj-carrier-join -> fused -> materialize-after-bts-mj-filter,1,materialize-after-bts-mj-carrier-join,2026-07-19T06:12:42.791019+00:00,86.9344,250.0,929,sha256:2e28043d2ee9ea90a8bff098db806a2aa4d9ad8c5140a47f2fc1fb5ee2222562
6,bts-multijoin-block-006,materialize-after-bts-mj-origin-join -> materialize-after-bts-mj-carrier-join -> fused -> materialize-after-bts-mj-filter,2,fused,2026-07-19T06:12:42.886021+00:00,50.4648,140.625,929,sha256:2e28043d2ee9ea90a8bff098db806a2aa4d9ad8c5140a47f2fc1fb5ee2222562
6,bts-multijoin-block-006,materialize-after-bts-mj-origin-join -> materialize-after-bts-mj-carrier-join -> fused -> materialize-after-bts-mj-filter,3,materialize-after-bts-mj-filter,2026-07-19T06:12:42.943595+00:00,106.6668,265.625,929,sha256:2e28043d2ee9ea90a8bff098db806a2aa4d9ad8c5140a47f2fc1fb5ee2222562
