workload_id,scenario_group_id,source_run_id,source_commit_hash,scenario_id,row_count,seed_count,join_input_rows,identifier_width_bytes,join_match_rate,observed_log_early_late_ratio,median_early_latency_ms,median_late_latency_ms,tie_threshold_fraction
20260715T140108314442Z/narrow_high_match/n100000,20260715T140108314442Z/narrow_high_match,20260715T140108314442Z,d25ffa0373337a549a07158b9967701c4df725d3,narrow_high_match,100000,5,100000,18,1.0,0.009745356176599305,405.70995000598487,392.61249999981374,0.03
20260715T140108314442Z/narrow_high_match/n300000,20260715T140108314442Z/narrow_high_match,20260715T140108314442Z,d25ffa0373337a549a07158b9967701c4df725d3,narrow_high_match,300000,5,300000,18,1.0,-0.0350528829910947,849.7118999948725,856.2422000104561,0.03
20260715T140108314442Z/wide_high_match/n100000,20260715T140108314442Z/wide_high_match,20260715T140108314442Z,d25ffa0373337a549a07158b9967701c4df725d3,wide_high_match,100000,5,100000,1024,1.0,0.0630527372220659,1667.7671499928692,1584.4415500032483,0.03
20260715T140108314442Z/wide_high_match/n300000,20260715T140108314442Z/wide_high_match,20260715T140108314442Z,d25ffa0373337a549a07158b9967701c4df725d3,wide_high_match,300000,5,300000,1024,1.0,-0.15653111863371433,2668.306850013323,3120.443850013544,0.03
20260715T140108314442Z/wide_low_match/n100000,20260715T140108314442Z/wide_low_match,20260715T140108314442Z,d25ffa0373337a549a07158b9967701c4df725d3,wide_low_match,100000,5,100000,1024,0.1,1.760693062508557,1441.5125999803422,247.28784999751952,0.03
20260715T140108314442Z/wide_low_match/n300000,20260715T140108314442Z/wide_low_match,20260715T140108314442Z,d25ffa0373337a549a07158b9967701c4df725d3,wide_low_match,300000,5,300000,1024,0.1,1.0543921548754878,2144.2340499925194,741.5947999979835,0.03
20260715T152953290778Z/medium_width_high_match/n200000,20260715T152953290778Z/medium_width_high_match,20260715T152953290778Z,35c3d037490e1cef8dfb6cc5c8e146a05fc347b3,medium_width_high_match,200000,3,200000,512,1.0,-0.10383510864939452,1438.3157499978552,1641.8714000028558,0.03
20260715T152953290778Z/medium_width_high_match/n500000,20260715T152953290778Z/medium_width_high_match,20260715T152953290778Z,35c3d037490e1cef8dfb6cc5c8e146a05fc347b3,medium_width_high_match,500000,3,500000,512,1.0,-0.09369605500593597,2306.2639999989187,2563.7753500050167,0.03
20260715T152953290778Z/verywide_high_match/n200000,20260715T152953290778Z/verywide_high_match,20260715T152953290778Z,35c3d037490e1cef8dfb6cc5c8e146a05fc347b3,verywide_high_match,200000,3,200000,2048,1.0,-0.1246687132516023,3876.5105999918887,4372.72744999791,0.03
20260715T152953290778Z/verywide_high_match/n500000,20260715T152953290778Z/verywide_high_match,20260715T152953290778Z,35c3d037490e1cef8dfb6cc5c8e146a05fc347b3,verywide_high_match,500000,3,500000,2048,1.0,-0.27268054335656566,5592.93389999948,7346.2100500037195,0.03
20260715T152953290778Z/verywide_low_match/n200000,20260715T152953290778Z/verywide_low_match,20260715T152953290778Z,35c3d037490e1cef8dfb6cc5c8e146a05fc347b3,verywide_low_match,200000,3,200000,2048,0.1,1.168815561197305,2958.0697500205133,916.0781999962637,0.03
20260715T152953290778Z/verywide_low_match/n500000,20260715T152953290778Z/verywide_low_match,20260715T152953290778Z,35c3d037490e1cef8dfb6cc5c8e146a05fc347b3,verywide_low_match,500000,3,500000,2048,0.1,0.14213160975699837,3825.668849996873,3318.794800012256,0.03
20260715T152953290778Z/verywide_medium_match/n200000,20260715T152953290778Z/verywide_medium_match,20260715T152953290778Z,35c3d037490e1cef8dfb6cc5c8e146a05fc347b3,verywide_medium_match,200000,3,200000,2048,0.5,0.06077595051343347,3787.489499998628,3485.279050000827,0.03
20260715T152953290778Z/verywide_medium_match/n500000,20260715T152953290778Z/verywide_medium_match,20260715T152953290778Z,35c3d037490e1cef8dfb6cc5c8e146a05fc347b3,verywide_medium_match,500000,3,500000,2048,0.5,-0.33077365882036197,4298.120699997526,6093.885249996674,0.03
20260716T012853745457Z/w1024_match025/n250000,20260716T012853745457Z/w1024_match025,20260716T012853745457Z,6e17b28f710bd45d14ef97e7c82ab2fec21843bc,w1024_match025,250000,2,250000,1024,0.25,0.5351824555303466,2327.3737499985145,1362.4223000078928,0.03
20260716T012853745457Z/w1024_match025/n450000,20260716T012853745457Z/w1024_match025,20260716T012853745457Z,6e17b28f710bd45d14ef97e7c82ab2fec21843bc,w1024_match025,450000,2,450000,1024,0.25,0.17901315985671962,2675.14029997983,2234.092899976531,0.03
20260716T012853745457Z/w1024_match075/n250000,20260716T012853745457Z/w1024_match075,20260716T012853745457Z,6e17b28f710bd45d14ef97e7c82ab2fec21843bc,w1024_match075,250000,2,250000,1024,0.75,-0.08618350665386248,2124.032449995866,2315.1896499912255,0.03
20260716T012853745457Z/w1024_match075/n450000,20260716T012853745457Z/w1024_match075,20260716T012853745457Z,6e17b28f710bd45d14ef97e7c82ab2fec21843bc,w1024_match075,450000,2,450000,1024,0.75,-0.13925553816996114,2619.128300008015,3010.263150004903,0.03
20260716T012853745457Z/w2048_match010/n350000,20260716T012853745457Z/w2048_match010,20260716T012853745457Z,6e17b28f710bd45d14ef97e7c82ab2fec21843bc,w2048_match010,350000,2,350000,2048,0.1,0.7789434877233854,3450.828349989024,1585.135099987383,0.03
20260716T012853745457Z/w2048_match010/n450000,20260716T012853745457Z/w2048_match010,20260716T012853745457Z,6e17b28f710bd45d14ef97e7c82ab2fec21843bc,w2048_match010,450000,2,450000,2048,0.1,0.5158398804501098,3708.6919999856036,2217.1681000181707,0.03
20260716T012853745457Z/w2048_match025/n350000,20260716T012853745457Z/w2048_match025,20260716T012853745457Z,6e17b28f710bd45d14ef97e7c82ab2fec21843bc,w2048_match025,350000,2,350000,2048,0.25,0.12145567543538538,3421.635550010251,3033.972349992837,0.03
20260716T012853745457Z/w2048_match025/n450000,20260716T012853745457Z/w2048_match025,20260716T012853745457Z,6e17b28f710bd45d14ef97e7c82ab2fec21843bc,w2048_match025,450000,2,450000,2048,0.25,-0.05353199801357679,3981.4579999947455,4203.427649990772,0.03
20260716T012853745457Z/w2048_match075/n250000,20260716T012853745457Z/w2048_match075,20260716T012853745457Z,6e17b28f710bd45d14ef97e7c82ab2fec21843bc,w2048_match075,250000,2,250000,2048,0.75,-0.18173462225627257,3730.4686999996193,4478.980799991405,0.03
20260716T012853745457Z/w2048_match075/n450000,20260716T012853745457Z/w2048_match075,20260716T012853745457Z,6e17b28f710bd45d14ef97e7c82ab2fec21843bc,w2048_match075,450000,2,450000,2048,0.75,-0.4008975458129578,4499.162249994697,6723.097249981947,0.03
20260716T012853745457Z/w256_match100/n200000,20260716T012853745457Z/w256_match100,20260716T012853745457Z,6e17b28f710bd45d14ef97e7c82ab2fec21843bc,w256_match100,200000,2,200000,256,1.0,0.2501932891451108,1623.0505499988794,1138.5686499997973,0.03
