family_id,row_count,identifier_width,match_rate,seed_count,early_count,late_count,tie_count,family_classification,median_early_latency_ms,median_late_latency_ms,median_early_minus_late_percent,median_winner_speedup_ratio
n150000-w1024-m0100,150000,1024,0.1,3,0,3,0,stable_late,1811.0469999955967,220.44029994867742,721.5589438125616,8.215589438125615
n150000-w1024-m0500,150000,1024,0.5,3,0,3,0,stable_late,1897.7825000183657,1129.3342999997549,68.0443514394965,1.680443514394965
n150000-w1024-m1000,150000,1024,1.0,3,0,1,2,mixed,2128.2025999971665,2072.7288000052795,2.6763655714025836,1.0267636557140258
n150000-w2048-m0100,150000,2048,0.1,3,0,3,0,stable_late,3712.298099999316,448.95990000804886,726.8662969527485,8.268662969527485
n150000-w2048-m0500,150000,2048,0.5,3,0,3,0,stable_late,3806.771000032313,2269.684700004291,67.72245942465563,1.6772245942465562
n150000-w2048-m1000,150000,2048,1.0,3,0,0,3,stable_tie,3855.869899969548,3845.130799978506,0.2792908889107881,1.0027929088891079
n150000-w256-m0100,150000,256,0.1,3,0,3,0,stable_late,702.2063999902457,100.28709995094687,600.1961372237445,7.001961372237445
n150000-w256-m0500,150000,256,0.5,3,0,3,0,stable_late,751.6691999626346,469.3688999977894,60.144653803474135,1.6014465380347414
n150000-w256-m1000,150000,256,1.0,3,3,0,0,stable_early,782.5340999988839,825.1438000006601,-5.163912035907215,1.0544509178601125
n150000-w512-m0100,150000,512,0.1,3,0,3,0,stable_late,1135.68349997513,145.41130000725389,681.0146116006639,7.8101461160066386
n150000-w512-m0500,150000,512,0.5,3,0,3,0,stable_late,1177.333700004965,726.346299983561,62.08985989625211,1.620898598962521
n150000-w512-m1000,150000,512,1.0,3,0,1,2,mixed,1292.2383999684826,1278.6020999774337,1.066500672202042,1.0106650067220204
n50000-w1024-m0100,50000,1024,0.1,3,0,3,0,stable_late,853.275700006634,87.86420000251383,871.1301075776271,9.711301075776271
n50000-w1024-m0500,50000,1024,0.5,3,0,3,0,stable_late,804.4952999916859,377.60200002230704,113.0537708868491,2.130537708868491
n50000-w1024-m1000,50000,1024,1.0,3,1,0,2,mixed,915.7461000140756,901.7353999661282,1.5537484774883703,1.0155374847748837
n50000-w2048-m0100,50000,2048,0.1,3,0,3,0,stable_late,1520.1151999644935,145.6406000070274,943.744120726738,10.43744120726738
n50000-w2048-m0500,50000,2048,0.5,3,0,3,0,stable_late,1358.2352000521496,645.4601000295952,110.42899475736343,2.1042899475736343
n50000-w2048-m1000,50000,2048,1.0,3,0,3,0,stable_late,1345.4186000162736,1189.047300023958,13.150973892221508,1.131509738922215
n50000-w256-m0100,50000,256,0.1,3,0,3,0,stable_late,245.07050000829622,30.179399996995926,712.0456338850033,8.120456338850033
n50000-w256-m0500,50000,256,0.5,3,0,3,0,stable_late,256.7846999736503,131.85990002239123,94.74055412604247,1.9474055412604248
n50000-w256-m1000,50000,256,1.0,3,2,1,0,mixed,272.08170003723353,351.41889995429665,-22.576247301263884,1.2915932968156478
n50000-w512-m0100,50000,512,0.1,3,0,3,0,stable_late,419.39280001679435,57.95300001045689,623.677462669957,7.23677462669957
n50000-w512-m0500,50000,512,0.5,3,0,3,0,stable_late,421.640100015793,232.8589999815449,81.0709914794832,1.810709914794832
n50000-w512-m1000,50000,512,1.0,3,0,2,1,mixed,466.25749999657273,476.95779998321086,-2.2434479501152516,1.022949335907126
