family_id,row_count,identifier_width,match_rate,seed,early_median_latency_ms,late_median_latency_ms,early_minus_late_percent,classification,winner_speedup_ratio,tie_threshold_fraction
n50000-w256-m0100,50000,256,0.1,707,245.9853999898769,30.179399996995926,715.0771718932863,late,8.150771718932862,0.03
n50000-w256-m0100,50000,256,0.1,808,245.07050000829622,32.01919997809455,665.3860814010267,late,7.653860814010266,0.03
n50000-w256-m0100,50000,256,0.1,909,243.58070001471788,29.618100030347705,722.4048800062693,late,8.224048800062693,0.03
n50000-w256-m0500,50000,256,0.5,707,256.7846999736503,131.85990002239123,94.74055412604247,late,1.9474055412604248,0.03
n50000-w256-m0500,50000,256,0.5,808,260.8315999968909,137.95100001152605,89.07554129734321,late,1.890755412973432,0.03
n50000-w256-m0500,50000,256,0.5,909,237.80230002012104,131.1814000364393,81.27745240869879,late,1.812774524086988,0.03
n50000-w256-m1000,50000,256,1.0,707,272.08170003723353,261.7047000094317,3.965156157848093,late,1.039651561578481,0.03
n50000-w256-m1000,50000,256,1.0,808,253.0953999958001,650.9491000324488,-61.11901837130066,early,2.5719515251689704,0.03
n50000-w256-m1000,50000,256,1.0,909,337.7394999843091,351.41889995429665,-3.8926193132374554,early,1.0405028134719898,0.03
n50000-w512-m0100,50000,512,0.1,707,658.5927999694832,84.91489995503798,675.5915632217724,late,7.755915632217723,0.03
n50000-w512-m0100,50000,512,0.1,808,379.9659999785945,42.58559999288991,792.2405696809099,late,8.922405696809099,0.03
n50000-w512-m0100,50000,512,0.1,909,419.39280001679435,57.95300001045689,623.677462669957,late,7.23677462669957,0.03
n50000-w512-m0500,50000,512,0.5,707,421.640100015793,232.8589999815449,81.0709914794832,late,1.810709914794832,0.03
n50000-w512-m0500,50000,512,0.5,808,420.9797000512481,204.99240001663566,105.36356470634254,late,2.0536356470634254,0.03
n50000-w512-m0500,50000,512,0.5,909,436.1164000001736,244.62799995671958,78.27738446838988,late,1.7827738446838988,0.03
n50000-w512-m1000,50000,512,1.0,707,437.3885000240989,386.25759998103604,13.237513008306689,late,1.132375130083067,0.03
n50000-w512-m1000,50000,512,1.0,808,518.7541999621317,482.24839998874813,7.569916245286734,late,1.0756991624528673,0.03
n50000-w512-m1000,50000,512,1.0,909,466.25749999657273,476.95779998321086,-2.2434479501152516,tie,1.022949335907126,0.03
n50000-w1024-m0100,50000,1024,0.1,707,853.275700006634,87.86420000251383,871.1301075776271,late,9.711301075776271,0.03
n50000-w1024-m0100,50000,1024,0.1,808,934.3696000287309,88.18730001803488,959.5285260322589,late,10.595285260322589,0.03
n50000-w1024-m0100,50000,1024,0.1,909,735.4936000192538,68.68890003534034,970.7604862515536,late,10.707604862515536,0.03
n50000-w1024-m0500,50000,1024,0.5,707,747.6486999657936,365.5947999795899,104.50200604809825,late,2.0450200604809825,0.03
n50000-w1024-m0500,50000,1024,0.5,808,804.4952999916859,377.60200002230704,113.0537708868491,late,2.130537708868491,0.03
n50000-w1024-m0500,50000,1024,0.5,909,833.2007999997586,390.0736000505276,113.6009204139504,late,2.136009204139504,0.03
n50000-w1024-m1000,50000,1024,1.0,707,915.7461000140756,889.5467999973334,2.9452413315208092,tie,1.029452413315208,0.03
n50000-w1024-m1000,50000,1024,1.0,808,942.4228999996558,928.2006000285037,1.5322442121579405,tie,1.0153224421215794,0.03
n50000-w1024-m1000,50000,1024,1.0,909,862.7486999612302,901.7353999661282,-4.323518851135544,early,1.0451889408893342,0.03
n50000-w2048-m0100,50000,2048,0.1,707,1520.1151999644935,145.6406000070274,943.744120726738,late,10.43744120726738,0.03
n50000-w2048-m0100,50000,2048,0.1,808,1712.7268000040203,167.86220000358298,920.3171410641959,late,10.203171410641959,0.03
n50000-w2048-m0100,50000,2048,0.1,909,1438.4718000073917,137.08329998189583,949.3413860020631,late,10.493413860020631,0.03
n50000-w2048-m0500,50000,2048,0.5,707,1444.4567000027746,645.4601000295952,123.78714035717225,late,2.2378714035717224,0.03
n50000-w2048-m0500,50000,2048,0.5,808,1358.2352000521496,585.8700000098906,131.8321812055951,late,2.318321812055951,0.03
n50000-w2048-m0500,50000,2048,0.5,909,1330.1187999895774,689.5523000275716,92.8959993225159,late,1.928959993225159,0.03
n50000-w2048-m1000,50000,2048,1.0,707,1345.4186000162736,1189.047300023958,13.150973892221508,late,1.131509738922215,0.03
n50000-w2048-m1000,50000,2048,1.0,808,1340.037299960386,1160.5920000001788,15.46153169763187,late,1.1546153169763187,0.03
n50000-w2048-m1000,50000,2048,1.0,909,1514.802600024268,1389.5344999618828,9.015112619788956,late,1.0901511261978896,0.03
n150000-w256-m0100,150000,256,0.1,707,649.8756000073627,95.90239997487515,577.6426869167188,late,6.776426869167189,0.03
n150000-w256-m0100,150000,256,0.1,808,729.4234000146389,100.28709995094687,627.3352209520663,late,7.273352209520662,0.03
n150000-w256-m0100,150000,256,0.1,909,702.2063999902457,218.6513000051491,221.15354446724496,late,3.2115354446724496,0.03
n150000-w256-m0500,150000,256,0.5,707,751.6691999626346,503.253799979575,49.36185280531251,late,1.4936185280531251,0.03
n150000-w256-m0500,150000,256,0.5,808,752.380300022196,450.35050000296906,67.06549676690395,late,1.6706549676690394,0.03
n150000-w256-m0500,150000,256,0.5,909,724.9281000113115,469.3688999977894,54.44740800140906,late,1.5444740800140906,0.03
n150000-w256-m1000,150000,256,1.0,707,782.5340999988839,825.1438000006601,-5.163912035907215,early,1.0544509178601125,0.03
n150000-w256-m1000,150000,256,1.0,808,749.030800012406,811.1437999759801,-7.657458512955828,early,1.0829244938426368,0.03
n150000-w256-m1000,150000,256,1.0,909,795.6539000151679,848.3149000094272,-6.2077183830761555,early,1.0661858126922465,0.03
n150000-w512-m0100,150000,512,0.1,707,1135.68349997513,145.41130000725389,681.0146116006639,late,7.8101461160066386,0.03
n150000-w512-m0100,150000,512,0.1,808,1092.4619000288658,132.96150002861395,721.6377671685132,late,8.216377671685132,0.03
n150000-w512-m0100,150000,512,0.1,909,1167.6768000470474,152.75059995474294,664.4335278506321,late,7.644335278506321,0.03
n150000-w512-m0500,150000,512,0.5,707,1183.2649999996647,719.7296000085771,64.40410398371328,late,1.6440410398371328,0.03
n150000-w512-m0500,150000,512,0.5,808,1164.2859000130557,737.9867999698035,57.76513889688748,late,1.5776513889688748,0.03
n150000-w512-m0500,150000,512,0.5,909,1177.333700004965,726.346299983561,62.08985989625211,late,1.620898598962521,0.03
n150000-w512-m1000,150000,512,1.0,707,1253.9734999882057,1233.4707000409253,1.6622040512677128,tie,1.0166220405126771,0.03
n150000-w512-m1000,150000,512,1.0,808,1292.2383999684826,1278.6020999774337,1.066500672202042,tie,1.0106650067220204,0.03
n150000-w512-m1000,150000,512,1.0,909,1366.3657999713905,1315.9431000240147,3.8316778245545358,late,1.0383167782455454,0.03
n150000-w1024-m0100,150000,1024,0.1,707,2136.858200014103,268.51199998054653,695.8147867391092,late,7.958147867391092,0.03
