unit_id,benchmark,identifier_width,match_rate,row_count,seed,matched_rows,component,runs,median_latency_ms,p95_latency_ms,min_latency_ms,max_latency_ms,logical_payload_bytes,median_mib_per_second,physical_plan_fingerprint,physical_operator_names,peak_buffer_memory_bytes,peak_temp_directory_bytes
mask_fragment-n150000-w1024-m0100-s707,mask_fragment,1024,0.1,150000,707,15000,early_mask_fragment,15,2136.858200014103,2915.7238000188954,1761.1441999906674,2915.7238000188954,153600000,68.55128477829423,sha256:1a43e0ddf8cc02438cc76d27ba1cce86da34109d2e43dcc8ed7c9d581b95b39d,EXPLAIN_ANALYZE|BATCH_CREATE_TABLE_AS|CTE|PROJECTION|SEQ_SCAN|PROJECTION|ORDER_BY|PROJECTION|HASH_JOIN|CTE_SCAN|SEQ_SCAN,377810944,0
mask_fragment-n150000-w1024-m0100-s707,mask_fragment,1024,0.1,150000,707,15000,late_mask_fragment,15,268.51199998054653,401.24649996869266,205.3017999860458,401.24649996869266,153600000,545.5412607653017,sha256:18bd7fb3b6d02ff88c53bf4a74124c631590d7e276f031a9034dc7f9cb857902,EXPLAIN_ANALYZE|BATCH_CREATE_TABLE_AS|PROJECTION|ORDER_BY|PROJECTION|PROJECTION|HASH_JOIN|SEQ_SCAN|SEQ_SCAN,377810944,0
mask_fragment-n150000-w1024-m0100-s808,mask_fragment,1024,0.1,150000,808,15000,early_mask_fragment,15,1803.7933000014164,2119.6873000008054,1547.370599990245,2119.6873000008054,153600000,81.20906924306958,sha256:1a43e0ddf8cc02438cc76d27ba1cce86da34109d2e43dcc8ed7c9d581b95b39d,EXPLAIN_ANALYZE|BATCH_CREATE_TABLE_AS|CTE|PROJECTION|SEQ_SCAN|PROJECTION|ORDER_BY|PROJECTION|HASH_JOIN|CTE_SCAN|SEQ_SCAN,377810944,0
mask_fragment-n150000-w1024-m0100-s808,mask_fragment,1024,0.1,150000,808,15000,late_mask_fragment,15,220.44029994867742,364.3124000518583,188.2642999989912,364.3124000518583,153600000,664.5081458975708,sha256:18bd7fb3b6d02ff88c53bf4a74124c631590d7e276f031a9034dc7f9cb857902,EXPLAIN_ANALYZE|BATCH_CREATE_TABLE_AS|PROJECTION|ORDER_BY|PROJECTION|PROJECTION|HASH_JOIN|SEQ_SCAN|SEQ_SCAN,377810944,0
mask_fragment-n150000-w1024-m0100-s909,mask_fragment,1024,0.1,150000,909,15000,early_mask_fragment,15,1811.0469999955967,2318.1088999845088,1489.7159000393003,2318.1088999845088,153600000,80.8838064392344,sha256:1a43e0ddf8cc02438cc76d27ba1cce86da34109d2e43dcc8ed7c9d581b95b39d,EXPLAIN_ANALYZE|BATCH_CREATE_TABLE_AS|CTE|PROJECTION|SEQ_SCAN|PROJECTION|ORDER_BY|PROJECTION|HASH_JOIN|CTE_SCAN|SEQ_SCAN,377909248,0
mask_fragment-n150000-w1024-m0100-s909,mask_fragment,1024,0.1,150000,909,15000,late_mask_fragment,15,210.46380000188947,339.410999964457,183.08690004050732,339.410999964457,153600000,696.0074606591961,sha256:18bd7fb3b6d02ff88c53bf4a74124c631590d7e276f031a9034dc7f9cb857902,EXPLAIN_ANALYZE|BATCH_CREATE_TABLE_AS|PROJECTION|ORDER_BY|PROJECTION|PROJECTION|HASH_JOIN|SEQ_SCAN|SEQ_SCAN,377909248,0
mask_fragment-n150000-w1024-m0500-s707,mask_fragment,1024,0.5,150000,707,75000,early_mask_fragment,15,1829.1137000196613,2090.863600024022,1558.383599971421,2090.863600024022,153600000,80.08489302683886,sha256:1a43e0ddf8cc02438cc76d27ba1cce86da34109d2e43dcc8ed7c9d581b95b39d,EXPLAIN_ANALYZE|BATCH_CREATE_TABLE_AS|CTE|PROJECTION|SEQ_SCAN|PROJECTION|ORDER_BY|PROJECTION|HASH_JOIN|CTE_SCAN|SEQ_SCAN,387173888,0
mask_fragment-n150000-w1024-m0500-s707,mask_fragment,1024,0.5,150000,707,75000,late_mask_fragment,15,1129.3342999997549,1266.5655000018887,947.059599973727,1266.5655000018887,153600000,129.70860355523763,sha256:18bd7fb3b6d02ff88c53bf4a74124c631590d7e276f031a9034dc7f9cb857902,EXPLAIN_ANALYZE|BATCH_CREATE_TABLE_AS|PROJECTION|ORDER_BY|PROJECTION|PROJECTION|HASH_JOIN|SEQ_SCAN|SEQ_SCAN,387173888,0
mask_fragment-n150000-w1024-m0500-s808,mask_fragment,1024,0.5,150000,808,75000,early_mask_fragment,15,1897.7825000183657,2440.1015000185,1549.9474999960512,2440.1015000185,153600000,77.18712497274183,sha256:1a43e0ddf8cc02438cc76d27ba1cce86da34109d2e43dcc8ed7c9d581b95b39d,EXPLAIN_ANALYZE|BATCH_CREATE_TABLE_AS|CTE|PROJECTION|SEQ_SCAN|PROJECTION|ORDER_BY|PROJECTION|HASH_JOIN|CTE_SCAN|SEQ_SCAN,387227136,0
mask_fragment-n150000-w1024-m0500-s808,mask_fragment,1024,0.5,150000,808,75000,late_mask_fragment,15,1121.5296000009403,1282.6017999905162,949.6982999844477,1282.6017999905162,153600000,130.6112428953076,sha256:18bd7fb3b6d02ff88c53bf4a74124c631590d7e276f031a9034dc7f9cb857902,EXPLAIN_ANALYZE|BATCH_CREATE_TABLE_AS|PROJECTION|ORDER_BY|PROJECTION|PROJECTION|HASH_JOIN|SEQ_SCAN|SEQ_SCAN,387227136,0
mask_fragment-n150000-w1024-m0500-s909,mask_fragment,1024,0.5,150000,909,75000,early_mask_fragment,15,2096.6342000174336,2979.909999994561,1717.239299963694,2979.909999994561,153600000,69.8664435592923,sha256:1a43e0ddf8cc02438cc76d27ba1cce86da34109d2e43dcc8ed7c9d581b95b39d,EXPLAIN_ANALYZE|BATCH_CREATE_TABLE_AS|CTE|PROJECTION|SEQ_SCAN|PROJECTION|ORDER_BY|PROJECTION|HASH_JOIN|CTE_SCAN|SEQ_SCAN,389044224,0
mask_fragment-n150000-w1024-m0500-s909,mask_fragment,1024,0.5,150000,909,75000,late_mask_fragment,15,1247.4591000354849,1621.7376999557018,1068.410900013987,1621.7376999557018,153600000,117.42619457089467,sha256:18bd7fb3b6d02ff88c53bf4a74124c631590d7e276f031a9034dc7f9cb857902,EXPLAIN_ANALYZE|BATCH_CREATE_TABLE_AS|PROJECTION|ORDER_BY|PROJECTION|PROJECTION|HASH_JOIN|SEQ_SCAN|SEQ_SCAN,389044224,0
mask_fragment-n150000-w1024-m1000-s707,mask_fragment,1024,1.0,150000,707,150000,early_mask_fragment,15,2250.8333000005223,2795.036900031846,1848.9419999532402,2795.036900031846,153600000,65.08006390342902,sha256:1a43e0ddf8cc02438cc76d27ba1cce86da34109d2e43dcc8ed7c9d581b95b39d,EXPLAIN_ANALYZE|BATCH_CREATE_TABLE_AS|CTE|PROJECTION|SEQ_SCAN|PROJECTION|ORDER_BY|PROJECTION|HASH_JOIN|CTE_SCAN|SEQ_SCAN,419983360,0
mask_fragment-n150000-w1024-m1000-s707,mask_fragment,1024,1.0,150000,707,150000,late_mask_fragment,15,2199.386099993717,2729.8551999847405,1843.4432999929413,2729.8551999847405,153600000,66.60239191309724,sha256:92b825cb6ca6efd8c921ae328d9dcd567e5fc1cecda65d185180a168e33b45c9,EXPLAIN_ANALYZE|BATCH_CREATE_TABLE_AS|PROJECTION|ORDER_BY|PROJECTION|PROJECTION|HASH_JOIN|SEQ_SCAN|SEQ_SCAN,419983360,0
