unit_id,benchmark,identifier_width,match_rate,row_count,seed,matched_rows,derived_component,left_component,right_component,paired_operation,pairs,median_paired_cost_ms,p95_paired_cost_ms,min_paired_cost_ms,max_paired_cost_ms
mask_fragment-n150000-w1024-m0100-s707,mask_fragment,1024,0.1,150000,707,15000,early_minus_late,early_mask_fragment,late_mask_fragment,subtract,15,1871.011900017038,2514.4773000502028,1544.8585999547504,2514.4773000502028
mask_fragment-n150000-w1024-m0100-s808,mask_fragment,1024,0.1,150000,808,15000,early_minus_late,early_mask_fragment,late_mask_fragment,subtract,15,1567.879099980928,1884.0705000329763,1350.1385999843478,1884.0705000329763
mask_fragment-n150000-w1024-m0100-s909,mask_fragment,1024,0.1,150000,909,15000,early_minus_late,early_mask_fragment,late_mask_fragment,subtract,15,1617.0251999865286,2040.781199990306,1302.1031000535004,2040.781199990306
mask_fragment-n150000-w1024-m0500-s707,mask_fragment,1024,0.5,150000,707,75000,early_minus_late,early_mask_fragment,late_mask_fragment,subtract,15,763.2293000351638,929.8770999885164,329.12369997939095,929.8770999885164
mask_fragment-n150000-w1024-m0500-s808,mask_fragment,1024,0.5,150000,808,75000,early_minus_late,early_mask_fragment,late_mask_fragment,subtract,15,796.8996999552473,1157.4997000279836,428.41789999511093,1157.4997000279836
mask_fragment-n150000-w1024-m0500-s909,mask_fragment,1024,0.5,150000,909,75000,early_minus_late,early_mask_fragment,late_mask_fragment,subtract,15,850.5320000112988,1358.1723000388592,424.94129994884133,1358.1723000388592
mask_fragment-n150000-w1024-m1000-s707,mask_fragment,1024,1.0,150000,707,150000,early_minus_late,early_mask_fragment,late_mask_fragment,subtract,15,-104.09779998008162,673.4389000339434,-533.6032999912277,673.4389000339434
mask_fragment-n150000-w1024-m1000-s808,mask_fragment,1024,1.0,150000,808,150000,early_minus_late,early_mask_fragment,late_mask_fragment,subtract,15,162.20189997693524,811.7783000343479,-540.0076999794692,811.7783000343479
mask_fragment-n150000-w1024-m1000-s909,mask_fragment,1024,1.0,150000,909,150000,early_minus_late,early_mask_fragment,late_mask_fragment,subtract,15,-33.41169998748228,315.2700000209734,-559.1885999892838,315.2700000209734
mask_fragment-n150000-w2048-m0100-s707,mask_fragment,2048,0.1,150000,707,15000,early_minus_late,early_mask_fragment,late_mask_fragment,subtract,15,3440.5264999950305,4690.149300033227,3016.71139994869,4690.149300033227
mask_fragment-n150000-w2048-m0100-s808,mask_fragment,2048,0.1,150000,808,15000,early_minus_late,early_mask_fragment,late_mask_fragment,subtract,15,3281.2425999436527,4170.420600043144,2621.873800002504,4170.420600043144
mask_fragment-n150000-w2048-m0100-s909,mask_fragment,2048,0.1,150000,909,15000,early_minus_late,early_mask_fragment,late_mask_fragment,subtract,15,3288.391000009142,4139.21749999281,2708.4524999954738,4139.21749999281
mask_fragment-n150000-w2048-m0500-s707,mask_fragment,2048,0.5,150000,707,75000,early_minus_late,early_mask_fragment,late_mask_fragment,subtract,15,1483.4926999756135,2580.2644000505097,766.8432000209577,2580.2644000505097
