benchmark,commit_hash,component,identifier_width,latency_ms,logical_payload_bytes,match_rate,matched_rows,order_position,physical_plan_fingerprint,repeat_index,result_digest,row_count,run_id,seed,unit_id
mask_fragment,d3d72da0ae30b01a83d11b5d681d7d53d108d49e,late_mask_fragment,512,5.307600018568337,1024000,0.25,500,0,sha256:7f98a99a1feb732b4b01c020a87da9b6842787ecdc6b846d46bba31c74c54d29,0,sha256:558f2525991f6834cfe469d778b9cccf350e384eac0e4f3c5fec65df6024a766,2000,20260717T120120419177Z,707,mask_fragment-n2000-w512-m0250-s707
mask_fragment,d3d72da0ae30b01a83d11b5d681d7d53d108d49e,early_mask_fragment,512,21.533299994189292,1024000,0.25,500,1,sha256:1a43e0ddf8cc02438cc76d27ba1cce86da34109d2e43dcc8ed7c9d581b95b39d,0,sha256:558f2525991f6834cfe469d778b9cccf350e384eac0e4f3c5fec65df6024a766,2000,20260717T120120419177Z,707,mask_fragment-n2000-w512-m0250-s707
mask_fragment,d3d72da0ae30b01a83d11b5d681d7d53d108d49e,early_mask_fragment,512,13.670399959664792,1024000,0.25,500,0,sha256:1a43e0ddf8cc02438cc76d27ba1cce86da34109d2e43dcc8ed7c9d581b95b39d,1,sha256:558f2525991f6834cfe469d778b9cccf350e384eac0e4f3c5fec65df6024a766,2000,20260717T120120419177Z,707,mask_fragment-n2000-w512-m0250-s707
mask_fragment,d3d72da0ae30b01a83d11b5d681d7d53d108d49e,late_mask_fragment,512,10.509399988222867,1024000,0.25,500,1,sha256:7f98a99a1feb732b4b01c020a87da9b6842787ecdc6b846d46bba31c74c54d29,1,sha256:558f2525991f6834cfe469d778b9cccf350e384eac0e4f3c5fec65df6024a766,2000,20260717T120120419177Z,707,mask_fragment-n2000-w512-m0250-s707
mask_fragment,d3d72da0ae30b01a83d11b5d681d7d53d108d49e,late_mask_fragment,512,7.935600006021559,1024000,0.25,500,0,sha256:7f98a99a1feb732b4b01c020a87da9b6842787ecdc6b846d46bba31c74c54d29,2,sha256:558f2525991f6834cfe469d778b9cccf350e384eac0e4f3c5fec65df6024a766,2000,20260717T120120419177Z,707,mask_fragment-n2000-w512-m0250-s707
mask_fragment,d3d72da0ae30b01a83d11b5d681d7d53d108d49e,early_mask_fragment,512,20.99750004708767,1024000,0.25,500,1,sha256:1a43e0ddf8cc02438cc76d27ba1cce86da34109d2e43dcc8ed7c9d581b95b39d,2,sha256:558f2525991f6834cfe469d778b9cccf350e384eac0e4f3c5fec65df6024a766,2000,20260717T120120419177Z,707,mask_fragment-n2000-w512-m0250-s707
mask_fragment,d3d72da0ae30b01a83d11b5d681d7d53d108d49e,late_mask_fragment,512,16.384499962441623,1024000,0.75,1500,0,sha256:7f98a99a1feb732b4b01c020a87da9b6842787ecdc6b846d46bba31c74c54d29,0,sha256:298cda56a975ce5237b5b4961e59279b252a56e30c305ca0f9de9b328f42db58,2000,20260717T120120419177Z,707,mask_fragment-n2000-w512-m0750-s707
mask_fragment,d3d72da0ae30b01a83d11b5d681d7d53d108d49e,early_mask_fragment,512,16.808399988804013,1024000,0.75,1500,1,sha256:1a43e0ddf8cc02438cc76d27ba1cce86da34109d2e43dcc8ed7c9d581b95b39d,0,sha256:298cda56a975ce5237b5b4961e59279b252a56e30c305ca0f9de9b328f42db58,2000,20260717T120120419177Z,707,mask_fragment-n2000-w512-m0750-s707
mask_fragment,d3d72da0ae30b01a83d11b5d681d7d53d108d49e,early_mask_fragment,512,17.04429998062551,1024000,0.75,1500,0,sha256:1a43e0ddf8cc02438cc76d27ba1cce86da34109d2e43dcc8ed7c9d581b95b39d,1,sha256:298cda56a975ce5237b5b4961e59279b252a56e30c305ca0f9de9b328f42db58,2000,20260717T120120419177Z,707,mask_fragment-n2000-w512-m0750-s707
mask_fragment,d3d72da0ae30b01a83d11b5d681d7d53d108d49e,late_mask_fragment,512,13.497199979610741,1024000,0.75,1500,1,sha256:7f98a99a1feb732b4b01c020a87da9b6842787ecdc6b846d46bba31c74c54d29,1,sha256:298cda56a975ce5237b5b4961e59279b252a56e30c305ca0f9de9b328f42db58,2000,20260717T120120419177Z,707,mask_fragment-n2000-w512-m0750-s707
mask_fragment,d3d72da0ae30b01a83d11b5d681d7d53d108d49e,late_mask_fragment,512,11.271400027908385,1024000,0.75,1500,0,sha256:7f98a99a1feb732b4b01c020a87da9b6842787ecdc6b846d46bba31c74c54d29,2,sha256:298cda56a975ce5237b5b4961e59279b252a56e30c305ca0f9de9b328f42db58,2000,20260717T120120419177Z,707,mask_fragment-n2000-w512-m0750-s707
mask_fragment,d3d72da0ae30b01a83d11b5d681d7d53d108d49e,early_mask_fragment,512,15.43379999930039,1024000,0.75,1500,1,sha256:1a43e0ddf8cc02438cc76d27ba1cce86da34109d2e43dcc8ed7c9d581b95b39d,2,sha256:298cda56a975ce5237b5b4961e59279b252a56e30c305ca0f9de9b328f42db58,2000,20260717T120120419177Z,707,mask_fragment-n2000-w512-m0750-s707
