family_id,row_count,identifier_width,match_rate,seed_count,required_seed_agreement_count,early_count,late_count,tie_count,family_classification,median_early_latency_ms,median_late_latency_ms,median_early_minus_late_percent,median_winner_speedup_ratio
n100000-w128-m0900,100000,128,0.9,5,4,0,3,2,mixed,464.82639998430386,453.6674999981187,4.598431973500872,1.0459843197350087
n100000-w128-m1000,100000,128,1.0,5,4,4,0,1,stable_early,476.0322999791242,468.9545000437647,-4.261523881360507,1.044512134035637
n100000-w256-m0900,100000,256,0.9,5,4,1,4,0,stable_late,628.3371999743395,573.2182000065222,6.924859393881033,1.077263836753579
n100000-w256-m1000,100000,256,1.0,5,4,1,2,2,mixed,626.7233999678865,636.2467999570072,3.062865041615237,1.038332304771781
n100000-w512-m0900,100000,512,0.9,5,4,0,5,0,stable_late,961.1488999798894,857.8535999986343,11.67800659812257,1.1167800659812257
n100000-w512-m1000,100000,512,1.0,5,4,0,4,1,stable_late,969.3430999759585,953.5198999801651,3.985496267072386,1.0398549626707239
n150000-w128-m0900,150000,128,0.9,5,4,4,0,1,stable_early,563.4242999949493,608.32230001688,-10.284630370717284,1.11463621465547
n150000-w128-m1000,150000,128,1.0,5,4,3,1,1,mixed,586.8204000289552,631.4465999603271,-5.226944667827915,1.0551522228497106
n150000-w256-m0900,150000,256,0.9,5,4,1,1,3,mixed,807.4703000020236,799.0131999831647,0.7700623712072474,1.016686233920429
n150000-w256-m1000,150000,256,1.0,5,4,2,0,3,mixed,775.4892000230029,803.9496999699622,-1.6397870433225825,1.016671243321167
n150000-w512-m0900,150000,512,0.9,5,4,0,2,3,mixed,1219.5235000108369,1190.087000024505,2.329655553565124,1.0232965555356512
n150000-w512-m1000,150000,512,1.0,5,4,1,2,2,mixed,1217.603600001894,1207.9730000114068,1.0234396945283386,1.0463286056545853
n200000-w128-m0900,200000,128,0.9,5,4,5,0,0,stable_early,580.9774999506772,646.1645000381395,-8.931036479052178,1.098068937360837
n200000-w128-m1000,200000,128,1.0,5,4,5,0,0,stable_early,587.7151000313461,657.3388000251725,-8.725718269601934,1.0955988708339066
n200000-w256-m0900,200000,256,0.9,5,4,3,1,1,mixed,842.3380000167526,914.359999995213,-5.839417732916674,1.0722992208715705
n200000-w256-m1000,200000,256,1.0,5,4,4,0,1,stable_early,839.9290000088513,876.8891000072472,-5.564712622640123,1.0589261999108843
n200000-w512-m0900,200000,512,0.9,5,4,2,2,1,mixed,1270.514700037893,1287.8247000044212,0.9075298071169247,1.0356491176217704
n200000-w512-m1000,200000,512,1.0,5,4,1,2,2,mixed,1283.7715999921784,1334.5756999915466,0.4111718796247388,1.0372061292104373
