unit_id,benchmark,identifier_width,match_rate,row_count,seed,matched_rows,component,runs,median_latency_ms,p95_latency_ms,min_latency_ms,max_latency_ms,logical_payload_bytes,median_mib_per_second,physical_plan_fingerprint,physical_operator_names,peak_buffer_memory_bytes,peak_temp_directory_bytes
mask_fragment-n100000-w128-m0900-s1111,mask_fragment,128,0.9,100000,1111,90000,early_mask_fragment,15,466.1919999634847,596.0714999819174,381.9680999731645,596.0714999819174,12800000,26.18455754486593,sha256:1a43e0ddf8cc02438cc76d27ba1cce86da34109d2e43dcc8ed7c9d581b95b39d,EXPLAIN_ANALYZE|BATCH_CREATE_TABLE_AS|CTE|PROJECTION|SEQ_SCAN|PROJECTION|ORDER_BY|PROJECTION|HASH_JOIN|CTE_SCAN|SEQ_SCAN,90924032,0
mask_fragment-n100000-w128-m0900-s1111,mask_fragment,128,0.9,100000,1111,90000,late_mask_fragment,15,412.4539000331424,541.369799990207,382.66589998966083,541.369799990207,12800000,29.596110617499587,sha256:18bd7fb3b6d02ff88c53bf4a74124c631590d7e276f031a9034dc7f9cb857902,EXPLAIN_ANALYZE|BATCH_CREATE_TABLE_AS|PROJECTION|ORDER_BY|PROJECTION|PROJECTION|HASH_JOIN|SEQ_SCAN|SEQ_SCAN,90924032,0
mask_fragment-n100000-w128-m0900-s1222,mask_fragment,128,0.9,100000,1222,90000,early_mask_fragment,15,464.82639998430386,552.2939000511542,410.97179998178035,552.2939000511542,12800000,26.26148439592115,sha256:1a43e0ddf8cc02438cc76d27ba1cce86da34109d2e43dcc8ed7c9d581b95b39d,EXPLAIN_ANALYZE|BATCH_CREATE_TABLE_AS|CTE|PROJECTION|SEQ_SCAN|PROJECTION|ORDER_BY|PROJECTION|HASH_JOIN|CTE_SCAN|SEQ_SCAN,90924032,0
mask_fragment-n100000-w128-m0900-s1222,mask_fragment,128,0.9,100000,1222,90000,late_mask_fragment,15,457.3048999882303,584.4581000274047,389.5098000066355,584.4581000274047,12800000,26.693418877239612,sha256:18bd7fb3b6d02ff88c53bf4a74124c631590d7e276f031a9034dc7f9cb857902,EXPLAIN_ANALYZE|BATCH_CREATE_TABLE_AS|PROJECTION|ORDER_BY|PROJECTION|PROJECTION|HASH_JOIN|SEQ_SCAN|SEQ_SCAN,90924032,0
mask_fragment-n100000-w128-m0900-s1333,mask_fragment,128,0.9,100000,1333,90000,early_mask_fragment,15,541.244900028687,1357.5799000100233,433.1600000150502,1357.5799000100233,12800000,22.553618979787164,sha256:1a43e0ddf8cc02438cc76d27ba1cce86da34109d2e43dcc8ed7c9d581b95b39d,EXPLAIN_ANALYZE|BATCH_CREATE_TABLE_AS|CTE|PROJECTION|SEQ_SCAN|PROJECTION|ORDER_BY|PROJECTION|HASH_JOIN|CTE_SCAN|SEQ_SCAN,90924032,0
mask_fragment-n100000-w128-m0900-s1333,mask_fragment,128,0.9,100000,1333,90000,late_mask_fragment,15,517.4502999871038,810.5786999803968,424.20760000823066,810.5786999803968,12800000,23.590731806135256,sha256:18bd7fb3b6d02ff88c53bf4a74124c631590d7e276f031a9034dc7f9cb857902,EXPLAIN_ANALYZE|BATCH_CREATE_TABLE_AS|PROJECTION|ORDER_BY|PROJECTION|PROJECTION|HASH_JOIN|SEQ_SCAN|SEQ_SCAN,90924032,0
mask_fragment-n100000-w128-m0900-s1444,mask_fragment,128,0.9,100000,1444,90000,early_mask_fragment,15,442.4773000064306,582.0317000034265,384.8323000129312,582.0317000034265,12800000,27.58792654407942,sha256:1a43e0ddf8cc02438cc76d27ba1cce86da34109d2e43dcc8ed7c9d581b95b39d,EXPLAIN_ANALYZE|BATCH_CREATE_TABLE_AS|CTE|PROJECTION|SEQ_SCAN|PROJECTION|ORDER_BY|PROJECTION|HASH_JOIN|CTE_SCAN|SEQ_SCAN,90924032,0
mask_fragment-n100000-w128-m0900-s1444,mask_fragment,128,0.9,100000,1444,90000,late_mask_fragment,15,453.6674999981187,541.6041000280529,354.52759999316186,541.6041000280529,12800000,26.90744047138184,sha256:18bd7fb3b6d02ff88c53bf4a74124c631590d7e276f031a9034dc7f9cb857902,EXPLAIN_ANALYZE|BATCH_CREATE_TABLE_AS|PROJECTION|ORDER_BY|PROJECTION|PROJECTION|HASH_JOIN|SEQ_SCAN|SEQ_SCAN,90924032,0
mask_fragment-n100000-w128-m0900-s1555,mask_fragment,128,0.9,100000,1555,90000,early_mask_fragment,15,462.7727000042796,584.1136999661103,399.92629998596385,584.1136999661103,12800000,26.378028025177613,sha256:1a43e0ddf8cc02438cc76d27ba1cce86da34109d2e43dcc8ed7c9d581b95b39d,EXPLAIN_ANALYZE|BATCH_CREATE_TABLE_AS|CTE|PROJECTION|SEQ_SCAN|PROJECTION|ORDER_BY|PROJECTION|HASH_JOIN|CTE_SCAN|SEQ_SCAN,92700672,0
mask_fragment-n100000-w128-m0900-s1555,mask_fragment,128,0.9,100000,1555,90000,late_mask_fragment,15,434.67270000837743,525.2054000156932,366.20220000622794,525.2054000156932,12800000,28.08327104454624,sha256:18bd7fb3b6d02ff88c53bf4a74124c631590d7e276f031a9034dc7f9cb857902,EXPLAIN_ANALYZE|BATCH_CREATE_TABLE_AS|PROJECTION|ORDER_BY|PROJECTION|PROJECTION|HASH_JOIN|SEQ_SCAN|SEQ_SCAN,92700672,0
