unit_id,benchmark,identifier_width,match_rate,row_count,seed,matched_rows,derived_component,left_component,right_component,paired_operation,pairs,median_paired_cost_ms,p95_paired_cost_ms,min_paired_cost_ms,max_paired_cost_ms
mask_fragment-n100000-w128-m0900-s1111,mask_fragment,128,0.9,100000,1111,90000,early_minus_late,early_mask_fragment,late_mask_fragment,subtract,15,37.643900024704635,84.2932999948971,-95.03830003086478,84.2932999948971
mask_fragment-n100000-w128-m0900-s1222,mask_fragment,128,0.9,100000,1222,90000,early_minus_late,early_mask_fragment,late_mask_fragment,subtract,15,11.570800037588924,64.7465999936685,-148.7337999860756,64.7465999936685
mask_fragment-n100000-w128-m0900-s1333,mask_fragment,128,0.9,100000,1333,90000,early_minus_late,early_mask_fragment,late_mask_fragment,subtract,15,10.721299913711846,883.1972000189126,-284.8727999953553,883.1972000189126
mask_fragment-n100000-w128-m0900-s1444,mask_fragment,128,0.9,100000,1444,90000,early_minus_late,early_mask_fragment,late_mask_fragment,subtract,15,-31.648899952415377,102.24959999322891,-106.61499999696389,102.24959999322891
mask_fragment-n100000-w128-m0900-s1555,mask_fragment,128,0.9,100000,1555,90000,early_minus_late,early_mask_fragment,late_mask_fragment,subtract,15,21.592499979306012,150.20340000046417,-93.00990001065657,150.20340000046417
mask_fragment-n100000-w128-m1000-s1111,mask_fragment,128,1.0,100000,1111,100000,early_minus_late,early_mask_fragment,late_mask_fragment,subtract,15,15.639800054486841,57.906100002583116,-92.4712999840267,57.906100002583116
mask_fragment-n100000-w128-m1000-s1222,mask_fragment,128,1.0,100000,1222,100000,early_minus_late,early_mask_fragment,late_mask_fragment,subtract,15,-19.240499997977167,56.45179998828098,-75.14179998543113,56.45179998828098
mask_fragment-n100000-w128-m1000-s1333,mask_fragment,128,1.0,100000,1333,100000,early_minus_late,early_mask_fragment,late_mask_fragment,subtract,15,2.9921000823378563,93.87720003724098,-89.2382999882102,93.87720003724098
mask_fragment-n100000-w128-m1000-s1444,mask_fragment,128,1.0,100000,1444,100000,early_minus_late,early_mask_fragment,late_mask_fragment,subtract,15,-17.008199996780604,87.64320000773296,-72.92790006613359,87.64320000773296
mask_fragment-n100000-w128-m1000-s1555,mask_fragment,128,1.0,100000,1555,100000,early_minus_late,early_mask_fragment,late_mask_fragment,subtract,15,-17.27270003175363,173.1060000602156,-774.2267000139691,173.1060000602156
mask_fragment-n100000-w256-m0900-s1111,mask_fragment,256,0.9,100000,1111,90000,early_minus_late,early_mask_fragment,late_mask_fragment,subtract,15,4.3317999807186425,135.47570002265275,-830.8179999585263,135.47570002265275
mask_fragment-n100000-w256-m0900-s1222,mask_fragment,256,0.9,100000,1222,90000,early_minus_late,early_mask_fragment,late_mask_fragment,subtract,15,37.661799986381084,1301.5571999712847,-39.29789998801425,1301.5571999712847
mask_fragment-n100000-w256-m0900-s1333,mask_fragment,256,0.9,100000,1333,90000,early_minus_late,early_mask_fragment,late_mask_fragment,subtract,15,44.974899967201054,139.35719995060936,-856.611100025475,139.35719995060936
mask_fragment-n100000-w256-m0900-s1444,mask_fragment,256,0.9,100000,1444,90000,early_minus_late,early_mask_fragment,late_mask_fragment,subtract,15,38.31100004026666,191.34940003277734,-908.2260999712162,191.34940003277734
mask_fragment-n100000-w256-m0900-s1555,mask_fragment,256,0.9,100000,1555,90000,early_minus_late,early_mask_fragment,late_mask_fragment,subtract,15,30.84830002626404,1003.0122000025585,-742.8492999752052,1003.0122000025585
mask_fragment-n100000-w256-m1000-s1111,mask_fragment,256,1.0,100000,1111,100000,early_minus_late,early_mask_fragment,late_mask_fragment,subtract,15,-36.37530002743006,61.77460006438196,-831.6352000110783,61.77460006438196
mask_fragment-n100000-w256-m1000-s1222,mask_fragment,256,1.0,100000,1222,100000,early_minus_late,early_mask_fragment,late_mask_fragment,subtract,15,-23.706100007984787,1077.8900999575853,-1039.1964000300504,1077.8900999575853
mask_fragment-n100000-w256-m1000-s1333,mask_fragment,256,1.0,100000,1333,100000,early_minus_late,early_mask_fragment,late_mask_fragment,subtract,15,-0.10989996371790767,1212.4428999959491,-69.53640002757311,1212.4428999959491
mask_fragment-n100000-w256-m1000-s1444,mask_fragment,256,1.0,100000,1444,100000,early_minus_late,early_mask_fragment,late_mask_fragment,subtract,15,27.063900022767484,122.91119998553768,-218.4885999886319,122.91119998553768
