family_id,source_run_ids,source_commit_hashes,seed_count,join_input_rows,identifier_width_bytes,join_match_rate,median_early_latency_ms,median_late_latency_ms,observed_log_early_late_ratio,tie_threshold_fraction
n50000-w256-m0100,20260717T120435635390Z,58ced0e286dfa2b04542a7873472fb4400aeb830,3,50000,256,0.1,245.07050000829622,30.179399996995926,2.0981126122096243,0.03
n50000-w256-m0500,20260717T120435635390Z,58ced0e286dfa2b04542a7873472fb4400aeb830,3,50000,256,0.5,256.7846999736503,131.85990002239123,0.6369764386209508,0.03
n50000-w256-m1000,20260717T120435635390Z,58ced0e286dfa2b04542a7873472fb4400aeb830,3,50000,256,1.0,272.08170003723353,351.41889995429665,-0.03970407080944348,0.03
n50000-w512-m0100,20260717T120435635390Z,58ced0e286dfa2b04542a7873472fb4400aeb830,3,50000,512,0.1,419.39280001679435,57.95300001045689,2.0484558595772664,0.03
n50000-w512-m0500,20260717T120435635390Z,58ced0e286dfa2b04542a7873472fb4400aeb830,3,50000,512,0.5,421.640100015793,232.8589999815449,0.5937189864990061,0.03
n50000-w512-m1000,20260717T120435635390Z,58ced0e286dfa2b04542a7873472fb4400aeb830,3,50000,512,1.0,466.25749999657273,476.95779998321086,0.07297083384890747,0.03
n50000-w1024-m0100,20260717T120435635390Z,58ced0e286dfa2b04542a7873472fb4400aeb830,3,50000,1024,0.1,853.275700006634,87.86420000251383,2.3604091154090283,0.03
n50000-w1024-m0500,20260717T120435635390Z,58ced0e286dfa2b04542a7873472fb4400aeb830,3,50000,1024,0.5,804.4952999916859,377.60200002230704,0.7563743933405004,0.03
n50000-w1024-m1000,20260717T120435635390Z,58ced0e286dfa2b04542a7873472fb4400aeb830,3,50000,1024,1.0,915.7461000140756,901.7353999661282,0.01520623901218022,0.03
n50000-w2048-m0100,20260717T120435635390Z,58ced0e286dfa2b04542a7873472fb4400aeb830,3,50000,2048,0.1,1520.1151999644935,145.6406000070274,2.345399457324451,0.03
n50000-w2048-m0500,20260717T120435635390Z,58ced0e286dfa2b04542a7873472fb4400aeb830,3,50000,2048,0.5,1358.2352000521496,645.4601000295952,0.8055251478151035,0.03
n50000-w2048-m1000,20260717T120435635390Z,58ced0e286dfa2b04542a7873472fb4400aeb830,3,50000,2048,1.0,1345.4186000162736,1189.047300023958,0.12355279314430824,0.03
n100000-w128-m0900,20260717T134222171980Z,86a3c5594a7b0bd7b33efe4c4ffaf5dc0aa17226,5,100000,128,0.9,464.82639998430386,453.6674999981187,0.04495837483726129,0.03
n100000-w128-m1000,20260717T134222171980Z,86a3c5594a7b0bd7b33efe4c4ffaf5dc0aa17226,5,100000,128,1.0,476.0322999791242,468.9545000437647,-0.043549919022771104,0.03
n100000-w256-m0900,20260717T134222171980Z,86a3c5594a7b0bd7b33efe4c4ffaf5dc0aa17226,5,100000,256,0.9,628.3371999743395,573.2182000065222,0.06695615312641086,0.03
n100000-w256-m1000,20260717T134222171980Z,86a3c5594a7b0bd7b33efe4c4ffaf5dc0aa17226,5,100000,256,1.0,626.7233999678865,636.2467999570072,0.03016895626956751,0.03
n100000-w512-m0900,20260717T134222171980Z,86a3c5594a7b0bd7b33efe4c4ffaf5dc0aa17226,5,100000,512,0.9,961.1488999798894,857.8535999986343,0.11044960363782641,0.03
n100000-w512-m1000,20260717T134222171980Z,86a3c5594a7b0bd7b33efe4c4ffaf5dc0aa17226,5,100000,512,1.0,969.3430999759585,953.5198999801651,0.03908124445751705,0.03
n150000-w128-m0900,20260717T134222171980Z,86a3c5594a7b0bd7b33efe4c4ffaf5dc0aa17226,5,150000,128,0.9,563.4242999949493,608.32230001688,-0.1085280867931289,0.03
n150000-w128-m1000,20260717T134222171980Z,86a3c5594a7b0bd7b33efe4c4ffaf5dc0aa17226,5,150000,128,1.0,586.8204000289552,631.4465999603271,-0.0536850435809901,0.03
n150000-w256-m0100,20260717T120435635390Z,58ced0e286dfa2b04542a7873472fb4400aeb830,3,150000,256,0.1,702.2063999902457,100.28709995094687,1.9134499525861712,0.03
n150000-w256-m0500,20260717T120435635390Z,58ced0e286dfa2b04542a7873472fb4400aeb830,3,150000,256,0.5,751.6691999626346,469.3688999977894,0.43468345111466183,0.03
n150000-w256-m0900,20260717T134222171980Z,86a3c5594a7b0bd7b33efe4c4ffaf5dc0aa17226,5,150000,256,0.9,807.4703000020236,799.0131999831647,0.007671125250214989,0.03
n150000-w256-m1000,20260717T120435635390Z|20260717T134222171980Z,58ced0e286dfa2b04542a7873472fb4400aeb830|86a3c5594a7b0bd7b33efe4c4ffaf5dc0aa17226,8,150000,256,1.0,778.7566000188235,813.7760999961756,-0.04453141169192193,0.03
n150000-w512-m0100,20260717T120435635390Z,58ced0e286dfa2b04542a7873472fb4400aeb830,3,150000,512,0.1,1135.68349997513,145.41130000725389,2.055423672512264,0.03
n150000-w512-m0500,20260717T120435635390Z,58ced0e286dfa2b04542a7873472fb4400aeb830,3,150000,512,0.5,1177.333700004965,726.346299983561,0.482980686177868,0.03
n150000-w512-m0900,20260717T134222171980Z,86a3c5594a7b0bd7b33efe4c4ffaf5dc0aa17226,5,150000,512,0.9,1219.5235000108369,1190.087000024505,0.023029333069191013,0.03
n150000-w512-m1000,20260717T120435635390Z|20260717T134222171980Z,58ced0e286dfa2b04542a7873472fb4400aeb830|86a3c5594a7b0bd7b33efe4c4ffaf5dc0aa17226,8,150000,512,1.0,1247.7869499998633,1231.2464000133332,0.013546971547672992,0.03
n150000-w1024-m0100,20260717T120435635390Z,58ced0e286dfa2b04542a7873472fb4400aeb830,3,150000,1024,0.1,1811.0469999955967,220.44029994867742,2.1020202056489183,0.03
n150000-w1024-m0500,20260717T120435635390Z,58ced0e286dfa2b04542a7873472fb4400aeb830,3,150000,1024,0.5,1897.7825000183657,1129.3342999997549,0.5192245344726194,0.03
n150000-w1024-m1000,20260717T120435635390Z,58ced0e286dfa2b04542a7873472fb4400aeb830,3,150000,1024,1.0,2128.2025999971665,2072.7288000052795,0.023122227240985185,0.03
n150000-w2048-m0100,20260717T120435635390Z,58ced0e286dfa2b04542a7873472fb4400aeb830,3,150000,2048,0.1,3712.298099999316,448.95990000804886,2.109004621304989,0.03
n150000-w2048-m0500,20260717T120435635390Z,58ced0e286dfa2b04542a7873472fb4400aeb830,3,150000,2048,0.5,3806.771000032313,2269.684700004291,0.517140400079218,0.03
n150000-w2048-m1000,20260717T120435635390Z,58ced0e286dfa2b04542a7873472fb4400aeb830,3,150000,2048,1.0,3855.869899969548,3845.130799978506,0.0035640010971811553,0.03
n200000-w128-m0900,20260717T134222171980Z,86a3c5594a7b0bd7b33efe4c4ffaf5dc0aa17226,5,200000,128,0.9,580.9774999506772,646.1645000381395,-0.0935531255981124,0.03
n200000-w128-m1000,20260717T134222171980Z,86a3c5594a7b0bd7b33efe4c4ffaf5dc0aa17226,5,200000,128,1.0,587.7151000313461,657.3388000251725,-0.09130112776907594,0.03
n200000-w256-m0900,20260717T134222171980Z,86a3c5594a7b0bd7b33efe4c4ffaf5dc0aa17226,5,200000,256,0.9,842.3380000167526,914.359999995213,-0.060168539250141664,0.03
n200000-w256-m1000,20260717T134222171980Z,86a3c5594a7b0bd7b33efe4c4ffaf5dc0aa17226,5,200000,256,1.0,839.9290000088513,876.8891000072472,-0.05725537572149533,0.03
n200000-w512-m0900,20260717T134222171980Z,86a3c5594a7b0bd7b33efe4c4ffaf5dc0aa17226,5,200000,512,0.9,1270.514700037893,1287.8247000044212,0.009034365020327978,0.03
n200000-w512-m1000,20260717T134222171980Z,86a3c5594a7b0bd7b33efe4c4ffaf5dc0aa17226,5,200000,512,1.0,1283.7715999921784,1334.5756999915466,0.004103288780519978,0.03
