family_id,row_count,identifier_width,match_rate,replicate_count,required_agreement_count,early_count,tie_count,late_count,family_classification,median_log_early_late_ratio,median_hash_projection_relative_delta,hash_projection_dominant_count,median_support_projection_relative_delta,support_projection_dominant_count,median_hash_join_relative_delta,hash_join_dominant_count,median_order_by_relative_delta,order_by_dominant_count,median_materialization_relative_delta,materialization_dominant_count,median_event_scan_relative_delta,event_scan_dominant_count,median_dimension_scan_relative_delta,dimension_scan_dominant_count,median_output_sink_relative_delta,output_sink_dominant_count
n100000-w128-m0900,100000,128,0.9,5,4,0,2,3,mixed,0.04495837483726129,0.0191629318218856,4,-0.7855202173565607,0,0.7757966148153224,0,0.06661097979277361,0,1.0,1,-0.15231733803220918,0,-0.1553884711779448,0,0.04842444170434349,0
n100000-w128-m1000,100000,128,1.0,5,4,4,1,0,stable_early,-0.043549919022771104,0.09407758195090896,5,-0.7832091529756523,0,0.7594837880040416,0,-0.005044974629208465,0,1.0,0,-0.08278119577220355,0,-0.14814814814814808,0,0.003935264270077892,0
n100000-w256-m0900,100000,256,0.9,5,4,1,0,4,stable_late,0.06695615312641086,0.09543684037963658,5,-0.8343137520670117,0,0.7665836188103395,0,-0.0017041085641847432,0,1.0,0,-0.01095893496722463,0,0.17906976744186054,0,-0.025680291198306657,0
n100000-w256-m1000,100000,256,1.0,5,4,1,2,2,mixed,0.03016895626956751,0.0428529896097527,5,-0.792352887454717,0,0.6925736103467253,0,-0.023532422284445766,0,1.0,0,-0.08335995817479486,0,-0.2989214175654852,0,-0.029058523750632833,0
n100000-w512-m0900,100000,512,0.9,5,4,0,0,5,stable_late,0.11044960363782641,0.1703823874302682,5,-0.7590738023856605,0,0.7938953073741263,0,0.14989697188116416,0,1.0,0,-0.08653195397853643,0,-0.14164305949008482,0,0.18171265930466438,0
n100000-w512-m1000,100000,512,1.0,5,4,0,1,4,stable_late,0.03908124445751705,0.11940514824922341,4,-0.7145184774318796,0,0.7739129123695797,0,0.10824260337183708,0,1.0,1,0.08199170794744855,0,-0.05219780219780236,0,0.15901038201482265,0
n150000-w1024-m0100,150000,1024,0.1,3,3,0,0,3,stable_late,2.1020202056489183,0.9073351899477415,3,-0.799523110785033,0,0.8249545498038465,0,0.17464555330510043,0,1.0,0,0.8015518148342976,0,0.12195121951219492,0,-0.1443651925820257,0
n150000-w1024-m0500,150000,1024,0.5,3,3,0,0,3,stable_late,0.5192245344726194,0.5232636579776856,3,-0.804923867905873,0,0.7811244979919678,0,0.09293341144983236,0,1.0,0,0.38359836763266936,0,-0.17419354838709697,0,0.08266910149791465,0
n150000-w1024-m1000,150000,1024,1.0,3,3,0,2,1,mixed,0.023122227240985185,0.08726093064834692,3,-0.7542171402694441,0,0.7277095864870264,0,0.047800509738422745,0,1.0,0,0.01657026119490662,0,-0.07816711590296495,0,0.24500296459595902,0
n150000-w128-m0900,150000,128,0.9,5,4,4,1,0,stable_early,-0.1085280867931289,-0.013381044401653323,4,-0.716255463132666,0,0.7473137928513999,0,0.012423461490910967,0,1.0,1,0.07226372986609716,0,0.1412037037037039,0,0.07918493680680952,0
n150000-w128-m1000,150000,128,1.0,5,4,3,1,1,mixed,-0.0536850435809901,-0.12037569898283207,3,-0.7166783954961294,0,0.8175667229201825,0,0.07785851781709913,1,1.0,1,0.1218668082992101,0,-0.037234042553191446,0,0.09209368884025318,0
n150000-w2048-m0100,150000,2048,0.1,3,3,0,0,3,stable_late,2.109004621304989,0.908446161549078,3,-0.7885660731021555,0,0.8485510901855278,0,0.16528119588004722,0,1.0,0,0.8365954497657968,0,-0.1242937853107345,0,0.24977239621267294,0
n150000-w2048-m0500,150000,2048,0.5,3,3,0,0,3,stable_late,0.517140400079218,0.5578130339022399,3,-0.8077751785274564,0,0.7824835883050406,0,0.05072941189073981,0,1.0,0,0.45052652493542616,0,-0.044186046511627726,0,0.10900987824488853,0
n150000-w2048-m1000,150000,2048,1.0,3,3,0,3,0,stable_tie,0.0035640010971811553,-0.04145235547223244,3,-0.7272649845629724,0,0.7473464885402624,0,0.003652449582969801,0,1.0,0,0.059466196498054555,0,-0.10055865921787725,0,0.12983607047325824,0
n150000-w256-m0100,150000,256,0.1,3,3,0,0,3,stable_late,1.9134499525861712,0.8810251479499879,3,-0.7882691981691812,0,0.8096214805146373,0,0.10190939240750865,0,1.0,0,0.8222317873668352,0,-0.3347280334728032,0,0.1277272727272727,0
n150000-w256-m0500,150000,256,0.5,3,3,0,0,3,stable_late,0.43468345111466183,0.6264490370212434,3,-0.763115387316525,0,0.8178952832987244,0,0.18568244568302647,0,1.0,0,0.49089757796422323,0,0.05570291777188341,0,0.21182454361956599,0
n150000-w256-m0900,150000,256,0.9,5,4,1,3,1,mixed,0.007671125250214989,0.12878983676435873,5,-0.7025392986698912,0,0.7586985804579837,0,0.08644494700900221,0,1.0,0,0.08945146873448187,0,-0.12466124661246596,0,0.056268250461908045,0
n150000-w256-m1000,150000,256,1.0,8,7,5,3,0,mixed,-0.04453141169192193,0.023788930058281848,7,-0.7189241819532715,0,0.7414993285787448,0,0.08296304539425749,1,1.0,0,-0.007296879620902663,0,-0.2134801176350798,0,0.14134157864755154,0
n150000-w512-m0100,150000,512,0.1,3,3,0,0,3,stable_late,2.055423672512264,0.8976431445256291,3,-0.7671052631578947,0,0.8481605193827625,0,0.07708656604128454,0,1.0,0,0.816789240583479,0,-0.091194968553459,0,-0.05273631840796046,0
