replicate_id,family_id,row_count,identifier_width,match_rate,seed,early_latency_ms,late_latency_ms,observed_log_early_late_ratio,classification,dominant_relative_difference_role,early_hash_projection_ms,late_hash_projection_ms,hash_projection_delta_ms,hash_projection_relative_delta,early_support_projection_ms,late_support_projection_ms,support_projection_delta_ms,support_projection_relative_delta,early_hash_join_ms,late_hash_join_ms,hash_join_delta_ms,hash_join_relative_delta,early_order_by_ms,late_order_by_ms,order_by_delta_ms,order_by_relative_delta,early_materialization_ms,late_materialization_ms,materialization_delta_ms,materialization_relative_delta,early_event_scan_ms,late_event_scan_ms,event_scan_delta_ms,event_scan_relative_delta,early_dimension_scan_ms,late_dimension_scan_ms,dimension_scan_delta_ms,dimension_scan_relative_delta,early_output_sink_ms,late_output_sink_ms,output_sink_delta_ms,output_sink_relative_delta
20260717T120435635390Z/mask_fragment-n150000-w1024-m0100-s707,n150000-w1024-m0100,150000,1024,0.1,707,2136.858200014103,268.51199998054653,2.074196292806113,late,hash_projection,2491.5284000000006,211.78020000000004,2279.7482000000005,0.9149998852110215,0.0935,0.6946000000000001,-0.6011000000000001,-0.8653901526058163,5.2255,0.9147000000000001,4.3108,0.8249545498038465,9.5088,10.760699999999998,-1.2518999999999973,-0.11634001505478246,22.1458,0,22.1458,1.0,10.665599999999998,2.8566999999999996,7.808899999999998,0.7321575907590758,0.0406,0.0306,0.009999999999999998,0.2463054187192118,1.7369,1.8337999999999997,-0.09689999999999954,-0.05284109499400129
20260717T120435635390Z/mask_fragment-n150000-w1024-m0100-s808,n150000-w1024-m0100,150000,1024,0.1,808,1803.7933000014164,220.44029994867742,2.1020202056489183,late,hash_projection,2213.11,228.7254,1984.3846,0.896649782432866,0.1093,0.5451999999999999,-0.4358999999999999,-0.799523110785033,4.1976,0.7507,3.4469000000000003,0.8211597103106537,11.0846,8.641800000000002,2.4427999999999983,0.22037782148205604,21.987600000000004,0,21.987600000000004,1.0,10.645599999999998,2.1126,8.532999999999998,0.8015518148342976,0.03799999999999999,0.041400000000000006,-0.003400000000000014,-0.08212560386473462,1.7994,2.103,-0.3036000000000001,-0.1443651925820257
20260717T120435635390Z/mask_fragment-n150000-w1024-m0100-s909,n150000-w1024-m0100,150000,1024,0.1,909,1811.0469999955967,210.46380000188947,2.152346743210462,late,hash_projection,2158.1935999999996,199.9886,1958.2049999999997,0.9073351899477415,0.0851,0.37789999999999996,-0.29279999999999995,-0.7748081503043133,4.9284,0.5877,4.3407,0.8807523739956172,8.6896,7.172,1.5176000000000007,0.17464555330510043,18.6574,0,18.6574,1.0,9.778299999999998,1.5294000000000003,8.248899999999997,0.8435924444944417,0.032799999999999996,0.028800000000000003,0.003999999999999993,0.12195121951219492,1.13,1.4911999999999999,-0.36119999999999997,-0.24222103004291845
20260717T120435635390Z/mask_fragment-n150000-w1024-m0500-s707,n150000-w1024-m0500,150000,1024,0.5,707,1829.1137000196613,1129.3342999997549,0.48220318852152294,late,hash_projection,2300.8183000000004,1096.8837,1203.9346000000003,0.5232636579776856,0.42390000000000005,2.3563,-1.9324,-0.8200993082374909,6.272600000000001,1.6373,4.635300000000001,0.7389758632783854,51.228199999999994,43.573100000000004,7.65509999999999,0.14943136787941,15.1902,0,15.1902,1.0,10.008200000000002,6.242799999999999,3.765400000000003,0.37623149017805424,0.0384,0.04650000000000001,-0.00810000000000001,-0.17419354838709697,8.1046,7.4346000000000005,0.669999999999999,0.08266910149791465
20260717T120435635390Z/mask_fragment-n150000-w1024-m0500-s808,n150000-w1024-m0500,150000,1024,0.5,808,1897.7825000183657,1121.5296000009403,0.5259926314671532,late,hash_projection,1973.5764000000001,915.5332000000002,1058.0432,0.5361045055058421,0.3946,2.0228,-1.6282,-0.804923867905873,5.7768,1.2644,4.5123999999999995,0.7811244979919678,46.255700000000004,41.956999999999994,4.298700000000011,0.09293341144983236,16.7862,0,16.7862,1.0,10.623099999999999,6.502300000000001,4.120799999999998,0.3879093673221563,0.04310000000000001,0.027000000000000003,0.01610000000000001,0.37354988399071937,8.579999999999998,6.493200000000002,2.0867999999999967,0.2432167832167829
20260717T120435635390Z/mask_fragment-n150000-w1024-m0500-s909,n150000-w1024-m0500,150000,1024,0.5,909,2096.6342000174336,1247.4591000354849,0.5192245344726194,late,hash_projection,2386.6492000000007,1188.8992999999998,1197.749900000001,0.5018541895474209,0.6843999999999999,2.5159999999999996,-1.8315999999999997,-0.7279809220985691,9.7462,1.3458999999999997,8.4003,0.8619051527774927,52.9028,58.979600000000005,-6.076800000000006,-0.10303223487443125,19.8069,0,19.8069,1.0,12.570699999999999,7.748600000000002,4.822099999999996,0.38359836763266936,0.026300000000000004,0.0322,-0.0058999999999999955,-0.18322981366459615,9.361100000000002,8.7563,0.6048000000000027,0.06460779181933773
20260717T120435635390Z/mask_fragment-n150000-w1024-m1000-s707,n150000-w1024-m1000,150000,1024,1.0,707,2250.8333000005223,2199.386099993717,0.023122227240985185,tie,hash_projection,2564.8821,2193.9584,370.9236999999998,0.14461627690411183,1.076,4.392999999999999,-3.316999999999999,-0.7550648759389937,9.0106,2.4534999999999996,6.5571,0.7277095864870264,136.50689999999997,118.02129999999998,18.48559999999999,0.1354187956799253,25.913600000000002,0,25.913600000000002,1.0,14.023200000000001,12.863599999999998,1.1596000000000029,0.08269153973415502,0.03200000000000001,0.09830000000000001,-0.0663,-0.674465920651068,25.129899999999996,18.973000000000006,6.15689999999999,0.24500296459595902
20260717T120435635390Z/mask_fragment-n150000-w1024-m1000-s808,n150000-w1024-m1000,150000,1024,1.0,808,2128.2025999971665,2037.858200026676,0.04337841933781093,late,hash_projection,2440.0817,2227.1578999999997,212.92380000000048,0.08726093064834692,1.0855000000000001,4.416499999999999,-3.330999999999999,-0.7542171402694441,7.566000000000001,2.1878000000000006,5.3782,0.7108379592915675,125.67229999999996,119.66509999999998,6.007199999999983,0.047800509738422745,21.439899999999994,0,21.439899999999994,1.0,11.494899999999998,11.637799999999999,-0.14290000000000092,-0.012278953066730906,0.0372,0.029700000000000004,0.007499999999999993,0.20161290322580627,22.5581,16.8818,5.676300000000001,0.2516302348158755
20260717T120435635390Z/mask_fragment-n150000-w1024-m1000-s909,n150000-w1024-m1000,150000,1024,1.0,909,2103.9397999993525,2072.7288000052795,0.014945682292113883,tie,hash_projection,2420.6621000000005,2504.9545,-84.29239999999936,-0.03365027189116583,1.1876000000000002,4.661599999999999,-3.473999999999999,-0.7452376866311995,9.044199999999998,2.2610999999999994,6.783099999999999,0.7499944715950555,130.0848,132.28619999999998,-2.2013999999999783,-0.01664119159821643,19.591099999999997,0,19.591099999999997,1.0,12.775900000000004,12.564199999999996,0.21170000000000755,0.01657026119490662,0.0342,0.0371,-0.0029,-0.07816711590296495,24.959300000000006,19.159999999999997,5.7993000000000094,0.23235026623342833
20260717T120435635390Z/mask_fragment-n150000-w2048-m0100-s707,n150000-w2048-m0100,150000,2048,0.1,707,3829.3103000032715,466.274100006558,2.105666328986213,late,hash_projection,4625.615999999999,423.49289999999996,4202.123099999999,0.908446161549078,0.1128,0.5335,-0.42069999999999996,-0.7885660731021555,5.2416,0.7079999999999999,4.5336,0.8649267399267399,14.1873,6.9395,7.247800000000001,0.5108653514058348,30.7101,0,30.7101,1.0,16.737599999999997,2.735,14.002599999999997,0.8365954497657968,0.031,0.0354,-0.004400000000000001,-0.1242937853107345,2.2567999999999997,1.3342,0.9225999999999996,0.4088089330024813
