scenario_id,family_id,region_label,row_count,identifier_width,match_rate,seed,policy_id,allow_raw_join,allow_raw_materialization,legal_candidate_count,legal_candidates,oracle_fastest_legal_variant,practical_classification,near_optimal_variants,winner_latency_ms,unconstrained_fastest_latency_ms,governance_overhead_percent,selected_raw_join_rows,selected_raw_materialized_rows,selected_masked_materialized_rows,selected_candidate_is_legal
mixed-n100000-w128-m0900-s1777,n100000-w128-m0900,phase2l_mixed,100000,128,0.9,1777,raw_permissive,True,True,4,early_hash_materialized|late_fused|late_hash_materialized|late_join_materialized,late_join_materialized,late_join_materialized,late_join_materialized,185.70500001078472,185.70500001078472,0.0,100000,90000,0,True
mixed-n100000-w128-m0900-s1777,n100000-w128-m0900,phase2l_mixed,100000,128,0.9,1777,no_raw_materialization,True,False,3,early_hash_materialized|late_fused|late_hash_materialized,early_hash_materialized,tie,early_hash_materialized|late_hash_materialized,334.14240001002327,185.70500001078472,79.93182735554679,0,0,100000,True
mixed-n100000-w128-m0900-s1777,n100000-w128-m0900,phase2l_mixed,100000,128,0.9,1777,no_raw_join,False,False,1,early_hash_materialized,early_hash_materialized,single_legal_candidate,early_hash_materialized,334.14240001002327,185.70500001078472,79.93182735554679,0,0,100000,True
mixed-n100000-w128-m0900-s1888,n100000-w128-m0900,phase2l_mixed,100000,128,0.9,1888,raw_permissive,True,True,4,early_hash_materialized|late_fused|late_hash_materialized|late_join_materialized,late_join_materialized,late_join_materialized,late_join_materialized,213.25420000357553,213.25420000357553,0.0,100000,90000,0,True
mixed-n100000-w128-m0900-s1888,n100000-w128-m0900,phase2l_mixed,100000,128,0.9,1888,no_raw_materialization,True,False,3,early_hash_materialized|late_fused|late_hash_materialized,late_fused,tie,late_fused|late_hash_materialized,284.14070000872016,213.25420000357553,33.24037697919013,100000,0,0,True
mixed-n100000-w128-m0900-s1888,n100000-w128-m0900,phase2l_mixed,100000,128,0.9,1888,no_raw_join,False,False,1,early_hash_materialized,early_hash_materialized,single_legal_candidate,early_hash_materialized,324.70649998867884,213.25420000357553,52.262651794541284,0,0,100000,True
mixed-n100000-w128-m0900-s1999,n100000-w128-m0900,phase2l_mixed,100000,128,0.9,1999,raw_permissive,True,True,4,early_hash_materialized|late_fused|late_hash_materialized|late_join_materialized,late_join_materialized,late_join_materialized,late_join_materialized,206.95329998852685,206.95329998852685,0.0,100000,90000,0,True
mixed-n100000-w128-m0900-s1999,n100000-w128-m0900,phase2l_mixed,100000,128,0.9,1999,no_raw_materialization,True,False,3,early_hash_materialized|late_fused|late_hash_materialized,late_hash_materialized,late_hash_materialized,late_hash_materialized,239.2330000293441,206.95329998852685,15.597576865218766,100000,0,90000,True
mixed-n100000-w128-m0900-s1999,n100000-w128-m0900,phase2l_mixed,100000,128,0.9,1999,no_raw_join,False,False,1,early_hash_materialized,early_hash_materialized,single_legal_candidate,early_hash_materialized,278.76519999699667,206.95329998852685,34.699567492980755,0,0,100000,True
mixed-n100000-w128-m0900-s2111,n100000-w128-m0900,phase2l_mixed,100000,128,0.9,2111,raw_permissive,True,True,4,early_hash_materialized|late_fused|late_hash_materialized|late_join_materialized,late_join_materialized,late_join_materialized,late_join_materialized,216.64400002919137,216.64400002919137,0.0,100000,90000,0,True
mixed-n100000-w128-m0900-s2111,n100000-w128-m0900,phase2l_mixed,100000,128,0.9,2111,no_raw_materialization,True,False,3,early_hash_materialized|late_fused|late_hash_materialized,late_hash_materialized,tie,late_hash_materialized|late_fused,361.55829997733235,216.64400002919137,66.8905208215389,100000,0,90000,True
mixed-n100000-w128-m0900-s2111,n100000-w128-m0900,phase2l_mixed,100000,128,0.9,2111,no_raw_join,False,False,1,early_hash_materialized,early_hash_materialized,single_legal_candidate,early_hash_materialized,372.4643999594264,216.64400002919137,71.92463207346577,0,0,100000,True
mixed-n100000-w128-m0900-s2222,n100000-w128-m0900,phase2l_mixed,100000,128,0.9,2222,raw_permissive,True,True,4,early_hash_materialized|late_fused|late_hash_materialized|late_join_materialized,late_join_materialized,late_join_materialized,late_join_materialized,197.87589996121824,197.87589996121824,0.0,100000,90000,0,True
mixed-n100000-w128-m0900-s2222,n100000-w128-m0900,phase2l_mixed,100000,128,0.9,2222,no_raw_materialization,True,False,3,early_hash_materialized|late_fused|late_hash_materialized,late_hash_materialized,tie,late_hash_materialized|late_fused,328.4346999716945,197.87589996121824,65.98014211739,100000,0,90000,True
mixed-n100000-w128-m0900-s2222,n100000-w128-m0900,phase2l_mixed,100000,128,0.9,2222,no_raw_join,False,False,1,early_hash_materialized,early_hash_materialized,single_legal_candidate,early_hash_materialized,369.9664000305347,197.87589996121824,86.96890328890206,0,0,100000,True
stable-early-n200000-w128-m1000-s1777,n200000-w128-m1000,phase2l_stable_early,200000,128,1.0,1777,raw_permissive,True,True,4,early_hash_materialized|late_fused|late_hash_materialized|late_join_materialized,late_join_materialized,late_join_materialized,late_join_materialized,553.1104999827221,553.1104999827221,0.0,200000,200000,0,True
stable-early-n200000-w128-m1000-s1777,n200000-w128-m1000,phase2l_stable_early,200000,128,1.0,1777,no_raw_materialization,True,False,3,early_hash_materialized|late_fused|late_hash_materialized,late_hash_materialized,late_hash_materialized,late_hash_materialized,660.3020000038669,553.1104999827221,19.37976227616238,200000,0,200000,True
stable-early-n200000-w128-m1000-s1777,n200000-w128-m1000,phase2l_stable_early,200000,128,1.0,1777,no_raw_join,False,False,1,early_hash_materialized,early_hash_materialized,single_legal_candidate,early_hash_materialized,689.2344999941997,553.1104999827221,24.61063386352813,0,0,200000,True
stable-early-n200000-w128-m1000-s1888,n200000-w128-m1000,phase2l_stable_early,200000,128,1.0,1888,raw_permissive,True,True,4,early_hash_materialized|late_fused|late_hash_materialized|late_join_materialized,late_join_materialized,late_join_materialized,late_join_materialized,469.9742999509908,469.9742999509908,0.0,200000,200000,0,True
stable-early-n200000-w128-m1000-s1888,n200000-w128-m1000,phase2l_stable_early,200000,128,1.0,1888,no_raw_materialization,True,False,3,early_hash_materialized|late_fused|late_hash_materialized,late_hash_materialized,late_hash_materialized,late_hash_materialized,636.5016000345349,469.9742999509908,35.43327796879736,200000,0,200000,True
stable-early-n200000-w128-m1000-s1888,n200000-w128-m1000,phase2l_stable_early,200000,128,1.0,1888,no_raw_join,False,False,1,early_hash_materialized,early_hash_materialized,single_legal_candidate,early_hash_materialized,673.9125000312924,469.9742999509908,43.393479196962126,0,0,200000,True
stable-early-n200000-w128-m1000-s1999,n200000-w128-m1000,phase2l_stable_early,200000,128,1.0,1999,raw_permissive,True,True,4,early_hash_materialized|late_fused|late_hash_materialized|late_join_materialized,late_join_materialized,late_join_materialized,late_join_materialized,470.1046999543905,470.1046999543905,0.0,200000,200000,0,True
stable-early-n200000-w128-m1000-s1999,n200000-w128-m1000,phase2l_stable_early,200000,128,1.0,1999,no_raw_materialization,True,False,3,early_hash_materialized|late_fused|late_hash_materialized,late_hash_materialized,tie,late_hash_materialized|early_hash_materialized,525.1362000126392,470.1046999543905,11.706222052999626,200000,0,200000,True
