scenario_id,identifier_width,match_rate,region_label,row_count,seed,matched_rows,variant,runs,median_latency_ms,p95_latency_ms,min_latency_ms,max_latency_ms,physical_plan_fingerprint,peak_buffer_memory_bytes,peak_temp_directory_bytes,raw_rows_exposed_to_join,raw_rows_materialized,masked_rows_materialized
mixed-n100000-w128-m0900-s1777,128,0.9,phase2l_mixed,100000,1777,90000,early_hash_materialized,15,334.14240001002327,534.8110000486486,238.47949999617413,534.8110000486486,sha256:aaa00b3bd44c8b4eac45d7e7d997fa62366f1bf46f339190d03cee33407583a0,256521216,0,0,0,100000
mixed-n100000-w128-m0900-s1777,128,0.9,phase2l_mixed,100000,1777,90000,late_fused,15,395.3462999779731,1110.8899000100791,231.71319998800755,1110.8899000100791,sha256:f570cbbf354e04dbc1f358979321f6943968e8a815c0d2fb74a463dc822156e7,256521216,0,100000,0,0
mixed-n100000-w128-m0900-s1777,128,0.9,phase2l_mixed,100000,1777,90000,late_hash_materialized,15,339.8268999881111,504.39199997344986,219.67229997972026,504.39199997344986,sha256:8c775ff611abc16d74d7b882b9f184805f1ebab78a726a672f21ac5ab0810c9f,256521216,0,100000,0,90000
mixed-n100000-w128-m0900-s1777,128,0.9,phase2l_mixed,100000,1777,90000,late_join_materialized,15,185.70500001078472,344.43460003240034,132.0729000144638,344.43460003240034,sha256:26c7beb699842444e252d17ec55e88fce7462da77b086dbbfc8863980d091221,256521216,0,100000,90000,0
mixed-n100000-w128-m0900-s1888,128,0.9,phase2l_mixed,100000,1888,90000,early_hash_materialized,15,324.70649998867884,381.29599997773767,232.49049996957183,381.29599997773767,sha256:aaa00b3bd44c8b4eac45d7e7d997fa62366f1bf46f339190d03cee33407583a0,256521216,0,0,0,100000
mixed-n100000-w128-m0900-s1888,128,0.9,phase2l_mixed,100000,1888,90000,late_fused,15,284.14070000872016,401.03239996824414,227.7786000049673,401.03239996824414,sha256:f570cbbf354e04dbc1f358979321f6943968e8a815c0d2fb74a463dc822156e7,256521216,0,100000,0,0
mixed-n100000-w128-m0900-s1888,128,0.9,phase2l_mixed,100000,1888,90000,late_hash_materialized,15,284.70189997460693,398.0608000420034,212.7254999941215,398.0608000420034,sha256:8c775ff611abc16d74d7b882b9f184805f1ebab78a726a672f21ac5ab0810c9f,256521216,0,100000,0,90000
mixed-n100000-w128-m0900-s1888,128,0.9,phase2l_mixed,100000,1888,90000,late_join_materialized,15,213.25420000357553,335.72109998203814,150.42780002113432,335.72109998203814,sha256:26c7beb699842444e252d17ec55e88fce7462da77b086dbbfc8863980d091221,256521216,0,100000,90000,0
mixed-n100000-w128-m0900-s1999,128,0.9,phase2l_mixed,100000,1999,90000,early_hash_materialized,15,278.76519999699667,562.4674000428058,245.87240000255406,562.4674000428058,sha256:aaa00b3bd44c8b4eac45d7e7d997fa62366f1bf46f339190d03cee33407583a0,256521216,0,0,0,100000
mixed-n100000-w128-m0900-s1999,128,0.9,phase2l_mixed,100000,1999,90000,late_fused,15,270.9671999909915,694.5586000219919,222.18709997832775,694.5586000219919,sha256:f570cbbf354e04dbc1f358979321f6943968e8a815c0d2fb74a463dc822156e7,256521216,0,100000,0,0
mixed-n100000-w128-m0900-s1999,128,0.9,phase2l_mixed,100000,1999,90000,late_hash_materialized,15,239.2330000293441,547.0526000135578,210.25120001286268,547.0526000135578,sha256:8c775ff611abc16d74d7b882b9f184805f1ebab78a726a672f21ac5ab0810c9f,256521216,0,100000,0,90000
