commit_hash,identifier_width,latency_ms,match_rate,matched_rows,order_position,physical_plan_fingerprint,region_label,repeat_index,result_digest,row_count,run_id,scenario_id,seed,variant
92d2811fd3360a0e31cf1105104a2dbf691c0beb,128,344.43460003240034,0.9,90000,0,sha256:26c7beb699842444e252d17ec55e88fce7462da77b086dbbfc8863980d091221,phase2l_mixed,0,sha256:daa42bebcc1f51e60f45e764a203d050936da0c59b67b9f270d6dd6546f9bd86,100000,20260718T024708217922Z,mixed-n100000-w128-m0900-s1777,1777,late_join_materialized
92d2811fd3360a0e31cf1105104a2dbf691c0beb,128,339.8268999881111,0.9,90000,1,sha256:8c775ff611abc16d74d7b882b9f184805f1ebab78a726a672f21ac5ab0810c9f,phase2l_mixed,0,sha256:daa42bebcc1f51e60f45e764a203d050936da0c59b67b9f270d6dd6546f9bd86,100000,20260718T024708217922Z,mixed-n100000-w128-m0900-s1777,1777,late_hash_materialized
92d2811fd3360a0e31cf1105104a2dbf691c0beb,128,348.17169996676967,0.9,90000,2,sha256:aaa00b3bd44c8b4eac45d7e7d997fa62366f1bf46f339190d03cee33407583a0,phase2l_mixed,0,sha256:daa42bebcc1f51e60f45e764a203d050936da0c59b67b9f270d6dd6546f9bd86,100000,20260718T024708217922Z,mixed-n100000-w128-m0900-s1777,1777,early_hash_materialized
92d2811fd3360a0e31cf1105104a2dbf691c0beb,128,481.6857999539934,0.9,90000,3,sha256:f570cbbf354e04dbc1f358979321f6943968e8a815c0d2fb74a463dc822156e7,phase2l_mixed,0,sha256:daa42bebcc1f51e60f45e764a203d050936da0c59b67b9f270d6dd6546f9bd86,100000,20260718T024708217922Z,mixed-n100000-w128-m0900-s1777,1777,late_fused
92d2811fd3360a0e31cf1105104a2dbf691c0beb,128,360.9219000209123,0.9,90000,0,sha256:8c775ff611abc16d74d7b882b9f184805f1ebab78a726a672f21ac5ab0810c9f,phase2l_mixed,1,sha256:daa42bebcc1f51e60f45e764a203d050936da0c59b67b9f270d6dd6546f9bd86,100000,20260718T024708217922Z,mixed-n100000-w128-m0900-s1777,1777,late_hash_materialized
92d2811fd3360a0e31cf1105104a2dbf691c0beb,128,285.8278999920003,0.9,90000,1,sha256:aaa00b3bd44c8b4eac45d7e7d997fa62366f1bf46f339190d03cee33407583a0,phase2l_mixed,1,sha256:daa42bebcc1f51e60f45e764a203d050936da0c59b67b9f270d6dd6546f9bd86,100000,20260718T024708217922Z,mixed-n100000-w128-m0900-s1777,1777,early_hash_materialized
92d2811fd3360a0e31cf1105104a2dbf691c0beb,128,273.4457000042312,0.9,90000,2,sha256:f570cbbf354e04dbc1f358979321f6943968e8a815c0d2fb74a463dc822156e7,phase2l_mixed,1,sha256:daa42bebcc1f51e60f45e764a203d050936da0c59b67b9f270d6dd6546f9bd86,100000,20260718T024708217922Z,mixed-n100000-w128-m0900-s1777,1777,late_fused
92d2811fd3360a0e31cf1105104a2dbf691c0beb,128,142.06590002868325,0.9,90000,3,sha256:26c7beb699842444e252d17ec55e88fce7462da77b086dbbfc8863980d091221,phase2l_mixed,1,sha256:daa42bebcc1f51e60f45e764a203d050936da0c59b67b9f270d6dd6546f9bd86,100000,20260718T024708217922Z,mixed-n100000-w128-m0900-s1777,1777,late_join_materialized
92d2811fd3360a0e31cf1105104a2dbf691c0beb,128,294.53680000733584,0.9,90000,0,sha256:aaa00b3bd44c8b4eac45d7e7d997fa62366f1bf46f339190d03cee33407583a0,phase2l_mixed,2,sha256:daa42bebcc1f51e60f45e764a203d050936da0c59b67b9f270d6dd6546f9bd86,100000,20260718T024708217922Z,mixed-n100000-w128-m0900-s1777,1777,early_hash_materialized
92d2811fd3360a0e31cf1105104a2dbf691c0beb,128,310.01680000917986,0.9,90000,1,sha256:f570cbbf354e04dbc1f358979321f6943968e8a815c0d2fb74a463dc822156e7,phase2l_mixed,2,sha256:daa42bebcc1f51e60f45e764a203d050936da0c59b67b9f270d6dd6546f9bd86,100000,20260718T024708217922Z,mixed-n100000-w128-m0900-s1777,1777,late_fused
