scenario_id,variant,consumer_contains_hash_projection,consumer_contains_join,consumer_contains_sort,cte_count,producer_contains_hash_projection,producer_contains_join,physical_plan_fingerprint
mixed-n100000-w128-m0900-s1666,early_hash_materialized,False,True,True,1,True,False,sha256:aaa00b3bd44c8b4eac45d7e7d997fa62366f1bf46f339190d03cee33407583a0
mixed-n100000-w128-m0900-s1666,late_fused,True,True,True,0,False,False,sha256:f570cbbf354e04dbc1f358979321f6943968e8a815c0d2fb74a463dc822156e7
mixed-n100000-w128-m0900-s1666,late_hash_materialized,False,False,True,1,True,True,sha256:8c775ff611abc16d74d7b882b9f184805f1ebab78a726a672f21ac5ab0810c9f
mixed-n100000-w128-m0900-s1666,late_join_materialized,True,False,True,1,False,True,sha256:26c7beb699842444e252d17ec55e88fce7462da77b086dbbfc8863980d091221
stable-early-n200000-w128-m1000-s1666,early_hash_materialized,False,True,True,1,True,False,sha256:aaa00b3bd44c8b4eac45d7e7d997fa62366f1bf46f339190d03cee33407583a0
stable-early-n200000-w128-m1000-s1666,late_fused,True,True,True,0,False,False,sha256:646d9ee6b2744682f1817c9d1081dfd325281f05a4a52fc1bd20bcc2c8df1e91
stable-early-n200000-w128-m1000-s1666,late_hash_materialized,False,False,True,1,True,True,sha256:328909ac7fb179c7d58c77fabdb6f910d863b1850355efc5b96283a10322c2b5
stable-early-n200000-w128-m1000-s1666,late_join_materialized,True,False,True,1,False,True,sha256:2146efa17423ef7b2b1bf85104eb315ae502fb9f7e752a64678c691decce3cdd
stable-late-n100000-w512-m0900-s1666,early_hash_materialized,False,True,True,1,True,False,sha256:aaa00b3bd44c8b4eac45d7e7d997fa62366f1bf46f339190d03cee33407583a0
stable-late-n100000-w512-m0900-s1666,late_fused,True,True,True,0,False,False,sha256:f570cbbf354e04dbc1f358979321f6943968e8a815c0d2fb74a463dc822156e7
stable-late-n100000-w512-m0900-s1666,late_hash_materialized,False,False,True,1,True,True,sha256:8c775ff611abc16d74d7b882b9f184805f1ebab78a726a672f21ac5ab0810c9f
stable-late-n100000-w512-m0900-s1666,late_join_materialized,True,False,True,1,False,True,sha256:26c7beb699842444e252d17ec55e88fce7462da77b086dbbfc8863980d091221
