scenario_id,identifier_width,match_rate,region_label,row_count,seed,matched_rows,variant,runs,median_latency_ms,p95_latency_ms,min_latency_ms,max_latency_ms,physical_plan_fingerprint,peak_buffer_memory_bytes,peak_temp_directory_bytes
mixed-n100000-w128-m0900-s1666,128,0.9,phase2l_mixed,100000,1666,90000,early_hash_materialized,3,530.031299975235,547.7428999729455,529.8186999862082,547.7428999729455,sha256:aaa00b3bd44c8b4eac45d7e7d997fa62366f1bf46f339190d03cee33407583a0,256021504,0
mixed-n100000-w128-m0900-s1666,128,0.9,phase2l_mixed,100000,1666,90000,late_fused,3,456.8674999754876,489.58390002371743,404.75980000337586,489.58390002371743,sha256:f570cbbf354e04dbc1f358979321f6943968e8a815c0d2fb74a463dc822156e7,256021504,0
mixed-n100000-w128-m0900-s1666,128,0.9,phase2l_mixed,100000,1666,90000,late_hash_materialized,3,472.84190001664683,547.6027999538928,422.72490001050755,547.6027999538928,sha256:8c775ff611abc16d74d7b882b9f184805f1ebab78a726a672f21ac5ab0810c9f,256021504,0
mixed-n100000-w128-m0900-s1666,128,0.9,phase2l_mixed,100000,1666,90000,late_join_materialized,3,259.257500001695,334.403500019107,245.0591999804601,334.403500019107,sha256:26c7beb699842444e252d17ec55e88fce7462da77b086dbbfc8863980d091221,256021504,0
stable-early-n200000-w128-m1000-s1666,128,1.0,phase2l_stable_early,200000,1666,200000,early_hash_materialized,3,566.1518999841064,610.982000012882,507.20329995965585,610.982000012882,sha256:aaa00b3bd44c8b4eac45d7e7d997fa62366f1bf46f339190d03cee33407583a0,236400640,0
stable-early-n200000-w128-m1000-s1666,128,1.0,phase2l_stable_early,200000,1666,200000,late_fused,3,634.9030999699607,734.1223999974318,586.1027999781072,734.1223999974318,sha256:646d9ee6b2744682f1817c9d1081dfd325281f05a4a52fc1bd20bcc2c8df1e91,128798720,0
stable-early-n200000-w128-m1000-s1666,128,1.0,phase2l_stable_early,200000,1666,200000,late_hash_materialized,3,525.9334000293165,605.7024999754503,519.4943000096828,605.7024999754503,sha256:328909ac7fb179c7d58c77fabdb6f910d863b1850355efc5b96283a10322c2b5,236400640,0
stable-early-n200000-w128-m1000-s1666,128,1.0,phase2l_stable_early,200000,1666,200000,late_join_materialized,3,476.4844999881461,519.6782000130042,420.37720000371337,519.6782000130042,sha256:2146efa17423ef7b2b1bf85104eb315ae502fb9f7e752a64678c691decce3cdd,236400640,0
stable-late-n100000-w512-m0900-s1666,512,0.9,phase2l_stable_late,100000,1666,90000,early_hash_materialized,3,1185.6755000189878,1492.051300010644,887.5188999809325,1492.051300010644,sha256:aaa00b3bd44c8b4eac45d7e7d997fa62366f1bf46f339190d03cee33407583a0,256021504,0
stable-late-n100000-w512-m0900-s1666,512,0.9,phase2l_stable_late,100000,1666,90000,late_fused,3,870.7370999618433,1207.5551999732852,782.0746000506915,1207.5551999732852,sha256:f570cbbf354e04dbc1f358979321f6943968e8a815c0d2fb74a463dc822156e7,236400640,0
stable-late-n100000-w512-m0900-s1666,512,0.9,phase2l_stable_late,100000,1666,90000,late_hash_materialized,3,851.6161000006832,1432.9248999711126,797.5233999895863,1432.9248999711126,sha256:8c775ff611abc16d74d7b882b9f184805f1ebab78a726a672f21ac5ab0810c9f,256021504,0
stable-late-n100000-w512-m0900-s1666,512,0.9,phase2l_stable_late,100000,1666,90000,late_join_materialized,3,536.308899987489,563.8835999998264,497.1795999445021,563.8835999998264,sha256:26c7beb699842444e252d17ec55e88fce7462da77b086dbbfc8863980d091221,256021504,0
