block_index,block_id,permutation_id,order_position,inner_repeat_index,candidate_id,started_at_utc,client_materialization_latency_ms,process_cpu_time_ms,output_row_count,result_digest
0,tpch-q6-block-000,fused -> materialize-after-q06-time -> materialize-after-q06-predicate,0,0,fused,2026-07-19T13:32:05.907286+00:00,211.9893,687.5,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
0,tpch-q6-block-000,fused -> materialize-after-q06-time -> materialize-after-q06-predicate,0,1,fused,2026-07-19T13:32:06.119693+00:00,263.4155,890.625,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
0,tpch-q6-block-000,fused -> materialize-after-q06-time -> materialize-after-q06-predicate,0,2,fused,2026-07-19T13:32:06.383627+00:00,220.4946,828.125,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
0,tpch-q6-block-000,fused -> materialize-after-q06-time -> materialize-after-q06-predicate,0,3,fused,2026-07-19T13:32:06.604248+00:00,242.6743,890.625,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
0,tpch-q6-block-000,fused -> materialize-after-q06-time -> materialize-after-q06-predicate,0,4,fused,2026-07-19T13:32:06.846612+00:00,220.6688,781.25,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
0,tpch-q6-block-000,fused -> materialize-after-q06-time -> materialize-after-q06-predicate,1,0,materialize-after-q06-time,2026-07-19T13:32:07.067612+00:00,703.6346,2234.375,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
0,tpch-q6-block-000,fused -> materialize-after-q06-time -> materialize-after-q06-predicate,1,1,materialize-after-q06-time,2026-07-19T13:32:07.771260+00:00,660.1901,2468.75,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
0,tpch-q6-block-000,fused -> materialize-after-q06-time -> materialize-after-q06-predicate,1,2,materialize-after-q06-time,2026-07-19T13:32:08.431447+00:00,587.8986,2265.625,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
0,tpch-q6-block-000,fused -> materialize-after-q06-time -> materialize-after-q06-predicate,1,3,materialize-after-q06-time,2026-07-19T13:32:09.019054+00:00,563.6714,2203.125,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
0,tpch-q6-block-000,fused -> materialize-after-q06-time -> materialize-after-q06-predicate,1,4,materialize-after-q06-time,2026-07-19T13:32:09.582914+00:00,591.0014,2265.625,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
0,tpch-q6-block-000,fused -> materialize-after-q06-time -> materialize-after-q06-predicate,2,0,materialize-after-q06-predicate,2026-07-19T13:32:10.174530+00:00,223.9781,875.0,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
0,tpch-q6-block-000,fused -> materialize-after-q06-time -> materialize-after-q06-predicate,2,1,materialize-after-q06-predicate,2026-07-19T13:32:10.398392+00:00,199.299,734.375,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
0,tpch-q6-block-000,fused -> materialize-after-q06-time -> materialize-after-q06-predicate,2,2,materialize-after-q06-predicate,2026-07-19T13:32:10.597393+00:00,265.5208,953.125,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
0,tpch-q6-block-000,fused -> materialize-after-q06-time -> materialize-after-q06-predicate,2,3,materialize-after-q06-predicate,2026-07-19T13:32:10.863393+00:00,247.7099,906.25,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
0,tpch-q6-block-000,fused -> materialize-after-q06-time -> materialize-after-q06-predicate,2,4,materialize-after-q06-predicate,2026-07-19T13:32:11.110977+00:00,226.6453,875.0,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
1,tpch-q6-block-001,materialize-after-q06-time -> fused -> materialize-after-q06-predicate,0,0,materialize-after-q06-time,2026-07-19T13:32:11.340926+00:00,708.7083,2281.25,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
1,tpch-q6-block-001,materialize-after-q06-time -> fused -> materialize-after-q06-predicate,0,1,materialize-after-q06-time,2026-07-19T13:32:12.049147+00:00,659.3175,2562.5,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
1,tpch-q6-block-001,materialize-after-q06-time -> fused -> materialize-after-q06-predicate,0,2,materialize-after-q06-time,2026-07-19T13:32:12.709056+00:00,638.8377,2406.25,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
1,tpch-q6-block-001,materialize-after-q06-time -> fused -> materialize-after-q06-predicate,0,3,materialize-after-q06-time,2026-07-19T13:32:13.347612+00:00,575.9439,2234.375,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
1,tpch-q6-block-001,materialize-after-q06-time -> fused -> materialize-after-q06-predicate,0,4,materialize-after-q06-time,2026-07-19T13:32:13.924236+00:00,581.2778,2296.875,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
1,tpch-q6-block-001,materialize-after-q06-time -> fused -> materialize-after-q06-predicate,1,0,fused,2026-07-19T13:32:14.505478+00:00,208.4992,812.5,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
1,tpch-q6-block-001,materialize-after-q06-time -> fused -> materialize-after-q06-predicate,1,1,fused,2026-07-19T13:32:14.713478+00:00,219.3499,828.125,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
1,tpch-q6-block-001,materialize-after-q06-time -> fused -> materialize-after-q06-predicate,1,2,fused,2026-07-19T13:32:14.933479+00:00,208.7761,781.25,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
1,tpch-q6-block-001,materialize-after-q06-time -> fused -> materialize-after-q06-predicate,1,3,fused,2026-07-19T13:32:15.142479+00:00,257.8587,953.125,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
1,tpch-q6-block-001,materialize-after-q06-time -> fused -> materialize-after-q06-predicate,1,4,fused,2026-07-19T13:32:15.400109+00:00,219.0374,796.875,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
1,tpch-q6-block-001,materialize-after-q06-time -> fused -> materialize-after-q06-predicate,2,0,materialize-after-q06-predicate,2026-07-19T13:32:15.619780+00:00,215.3496,796.875,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
1,tpch-q6-block-001,materialize-after-q06-time -> fused -> materialize-after-q06-predicate,2,1,materialize-after-q06-predicate,2026-07-19T13:32:15.835029+00:00,245.0481,906.25,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
1,tpch-q6-block-001,materialize-after-q06-time -> fused -> materialize-after-q06-predicate,2,2,materialize-after-q06-predicate,2026-07-19T13:32:16.079556+00:00,279.4777,937.5,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
1,tpch-q6-block-001,materialize-after-q06-time -> fused -> materialize-after-q06-predicate,2,3,materialize-after-q06-predicate,2026-07-19T13:32:16.359359+00:00,287.0839,1078.125,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
1,tpch-q6-block-001,materialize-after-q06-time -> fused -> materialize-after-q06-predicate,2,4,materialize-after-q06-predicate,2026-07-19T13:32:16.646846+00:00,252.5505,937.5,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
2,tpch-q6-block-002,fused -> materialize-after-q06-predicate -> materialize-after-q06-time,0,0,fused,2026-07-19T13:32:16.902124+00:00,220.6201,859.375,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
2,tpch-q6-block-002,fused -> materialize-after-q06-predicate -> materialize-after-q06-time,0,1,fused,2026-07-19T13:32:17.122241+00:00,245.9402,937.5,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
2,tpch-q6-block-002,fused -> materialize-after-q06-predicate -> materialize-after-q06-time,0,2,fused,2026-07-19T13:32:17.368785+00:00,229.16,859.375,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
2,tpch-q6-block-002,fused -> materialize-after-q06-predicate -> materialize-after-q06-time,0,3,fused,2026-07-19T13:32:17.597846+00:00,221.3134,828.125,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
2,tpch-q6-block-002,fused -> materialize-after-q06-predicate -> materialize-after-q06-time,0,4,fused,2026-07-19T13:32:17.819376+00:00,205.5424,750.0,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
2,tpch-q6-block-002,fused -> materialize-after-q06-predicate -> materialize-after-q06-time,1,0,materialize-after-q06-predicate,2026-07-19T13:32:18.025373+00:00,250.0815,906.25,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
2,tpch-q6-block-002,fused -> materialize-after-q06-predicate -> materialize-after-q06-time,1,1,materialize-after-q06-predicate,2026-07-19T13:32:18.274967+00:00,239.1064,906.25,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
2,tpch-q6-block-002,fused -> materialize-after-q06-predicate -> materialize-after-q06-time,1,2,materialize-after-q06-predicate,2026-07-19T13:32:18.514608+00:00,231.0173,875.0,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
2,tpch-q6-block-002,fused -> materialize-after-q06-predicate -> materialize-after-q06-time,1,3,materialize-after-q06-predicate,2026-07-19T13:32:18.745244+00:00,227.9295,843.75,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
2,tpch-q6-block-002,fused -> materialize-after-q06-predicate -> materialize-after-q06-time,1,4,materialize-after-q06-predicate,2026-07-19T13:32:18.973984+00:00,246.9447,921.875,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
2,tpch-q6-block-002,fused -> materialize-after-q06-predicate -> materialize-after-q06-time,2,0,materialize-after-q06-time,2026-07-19T13:32:19.221146+00:00,662.3719,2500.0,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
2,tpch-q6-block-002,fused -> materialize-after-q06-predicate -> materialize-after-q06-time,2,1,materialize-after-q06-time,2026-07-19T13:32:19.882948+00:00,722.8399,2562.5,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
2,tpch-q6-block-002,fused -> materialize-after-q06-predicate -> materialize-after-q06-time,2,2,materialize-after-q06-time,2026-07-19T13:32:20.606228+00:00,651.2479,2500.0,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
2,tpch-q6-block-002,fused -> materialize-after-q06-predicate -> materialize-after-q06-time,2,3,materialize-after-q06-time,2026-07-19T13:32:21.257118+00:00,623.6986,2343.75,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
2,tpch-q6-block-002,fused -> materialize-after-q06-predicate -> materialize-after-q06-time,2,4,materialize-after-q06-time,2026-07-19T13:32:21.881369+00:00,542.1301,2093.75,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
3,tpch-q6-block-003,materialize-after-q06-predicate -> materialize-after-q06-time -> fused,0,0,materialize-after-q06-predicate,2026-07-19T13:32:22.426229+00:00,188.8667,703.125,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
3,tpch-q6-block-003,materialize-after-q06-predicate -> materialize-after-q06-time -> fused,0,1,materialize-after-q06-predicate,2026-07-19T13:32:22.615019+00:00,218.593,734.375,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
3,tpch-q6-block-003,materialize-after-q06-predicate -> materialize-after-q06-time -> fused,0,2,materialize-after-q06-predicate,2026-07-19T13:32:22.833454+00:00,202.6858,687.5,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
3,tpch-q6-block-003,materialize-after-q06-predicate -> materialize-after-q06-time -> fused,0,3,materialize-after-q06-predicate,2026-07-19T13:32:23.036797+00:00,211.2251,703.125,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
3,tpch-q6-block-003,materialize-after-q06-predicate -> materialize-after-q06-time -> fused,0,4,materialize-after-q06-predicate,2026-07-19T13:32:23.247798+00:00,221.3236,796.875,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
3,tpch-q6-block-003,materialize-after-q06-predicate -> materialize-after-q06-time -> fused,1,0,materialize-after-q06-time,2026-07-19T13:32:23.469108+00:00,663.4158,2453.125,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
3,tpch-q6-block-003,materialize-after-q06-predicate -> materialize-after-q06-time -> fused,1,1,materialize-after-q06-time,2026-07-19T13:32:24.132202+00:00,717.873,2640.625,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
3,tpch-q6-block-003,materialize-after-q06-predicate -> materialize-after-q06-time -> fused,1,2,materialize-after-q06-time,2026-07-19T13:32:24.850118+00:00,737.5532,2593.75,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
3,tpch-q6-block-003,materialize-after-q06-predicate -> materialize-after-q06-time -> fused,1,3,materialize-after-q06-time,2026-07-19T13:32:25.588616+00:00,653.1941,2437.5,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
3,tpch-q6-block-003,materialize-after-q06-predicate -> materialize-after-q06-time -> fused,1,4,materialize-after-q06-time,2026-07-19T13:32:26.241656+00:00,671.9479,2562.5,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
3,tpch-q6-block-003,materialize-after-q06-predicate -> materialize-after-q06-time -> fused,2,0,fused,2026-07-19T13:32:26.913553+00:00,249.091,921.875,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
3,tpch-q6-block-003,materialize-after-q06-predicate -> materialize-after-q06-time -> fused,2,1,fused,2026-07-19T13:32:27.162727+00:00,269.5974,953.125,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
3,tpch-q6-block-003,materialize-after-q06-predicate -> materialize-after-q06-time -> fused,2,2,fused,2026-07-19T13:32:27.432231+00:00,224.3277,828.125,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
3,tpch-q6-block-003,materialize-after-q06-predicate -> materialize-after-q06-time -> fused,2,3,fused,2026-07-19T13:32:27.656857+00:00,262.2948,953.125,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
3,tpch-q6-block-003,materialize-after-q06-predicate -> materialize-after-q06-time -> fused,2,4,fused,2026-07-19T13:32:27.918858+00:00,267.439,906.25,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
4,tpch-q6-block-004,materialize-after-q06-predicate -> fused -> materialize-after-q06-time,0,0,materialize-after-q06-predicate,2026-07-19T13:32:28.189859+00:00,263.6889,953.125,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
4,tpch-q6-block-004,materialize-after-q06-predicate -> fused -> materialize-after-q06-time,0,1,materialize-after-q06-predicate,2026-07-19T13:32:28.453599+00:00,306.476,1093.75,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
4,tpch-q6-block-004,materialize-after-q06-predicate -> fused -> materialize-after-q06-time,0,2,materialize-after-q06-predicate,2026-07-19T13:32:28.760250+00:00,284.9593,1000.0,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
4,tpch-q6-block-004,materialize-after-q06-predicate -> fused -> materialize-after-q06-time,0,3,materialize-after-q06-predicate,2026-07-19T13:32:29.045248+00:00,257.8836,859.375,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
4,tpch-q6-block-004,materialize-after-q06-predicate -> fused -> materialize-after-q06-time,0,4,materialize-after-q06-predicate,2026-07-19T13:32:29.303893+00:00,245.2907,859.375,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
4,tpch-q6-block-004,materialize-after-q06-predicate -> fused -> materialize-after-q06-time,1,0,fused,2026-07-19T13:32:29.549161+00:00,260.8039,968.75,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
4,tpch-q6-block-004,materialize-after-q06-predicate -> fused -> materialize-after-q06-time,1,1,fused,2026-07-19T13:32:29.810161+00:00,227.5557,828.125,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
4,tpch-q6-block-004,materialize-after-q06-predicate -> fused -> materialize-after-q06-time,1,2,fused,2026-07-19T13:32:30.037161+00:00,295.8531,1031.25,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
4,tpch-q6-block-004,materialize-after-q06-predicate -> fused -> materialize-after-q06-time,1,3,fused,2026-07-19T13:32:30.333798+00:00,222.6596,796.875,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
4,tpch-q6-block-004,materialize-after-q06-predicate -> fused -> materialize-after-q06-time,1,4,fused,2026-07-19T13:32:30.556229+00:00,265.6084,953.125,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
4,tpch-q6-block-004,materialize-after-q06-predicate -> fused -> materialize-after-q06-time,2,0,materialize-after-q06-time,2026-07-19T13:32:30.821727+00:00,626.6726,2343.75,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
4,tpch-q6-block-004,materialize-after-q06-predicate -> fused -> materialize-after-q06-time,2,1,materialize-after-q06-time,2026-07-19T13:32:31.448672+00:00,588.3286,2265.625,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
4,tpch-q6-block-004,materialize-after-q06-predicate -> fused -> materialize-after-q06-time,2,2,materialize-after-q06-time,2026-07-19T13:32:32.036572+00:00,557.3788,2140.625,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
4,tpch-q6-block-004,materialize-after-q06-predicate -> fused -> materialize-after-q06-time,2,3,materialize-after-q06-time,2026-07-19T13:32:32.594520+00:00,652.4437,2484.375,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
4,tpch-q6-block-004,materialize-after-q06-predicate -> fused -> materialize-after-q06-time,2,4,materialize-after-q06-time,2026-07-19T13:32:33.247568+00:00,668.9032,2468.75,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
5,tpch-q6-block-005,materialize-after-q06-time -> materialize-after-q06-predicate -> fused,0,0,materialize-after-q06-time,2026-07-19T13:32:33.919797+00:00,688.022,2531.25,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
5,tpch-q6-block-005,materialize-after-q06-time -> materialize-after-q06-predicate -> fused,0,1,materialize-after-q06-time,2026-07-19T13:32:34.607649+00:00,670.2705,2625.0,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
