block_index,block_id,permutation_id,order_position,candidate_id,started_at_utc,client_materialization_latency_ms,process_cpu_time_ms,output_row_count,result_digest
0,tpch-q6-block-000,materialize-after-q06-time -> fused -> materialize-after-q06-predicate,0,materialize-after-q06-time,2026-07-19T13:23:08.286316+00:00,655.7476,2515.625,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
0,tpch-q6-block-000,materialize-after-q06-time -> fused -> materialize-after-q06-predicate,1,fused,2026-07-19T13:23:08.941953+00:00,228.0154,859.375,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
0,tpch-q6-block-000,materialize-after-q06-time -> fused -> materialize-after-q06-predicate,2,materialize-after-q06-predicate,2026-07-19T13:23:09.169952+00:00,250.3004,953.125,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
1,tpch-q6-block-001,fused -> materialize-after-q06-time -> materialize-after-q06-predicate,0,fused,2026-07-19T13:23:09.423332+00:00,207.7915,812.5,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
1,tpch-q6-block-001,fused -> materialize-after-q06-time -> materialize-after-q06-predicate,1,materialize-after-q06-time,2026-07-19T13:23:09.630825+00:00,561.4901,1953.125,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
1,tpch-q6-block-001,fused -> materialize-after-q06-time -> materialize-after-q06-predicate,2,materialize-after-q06-predicate,2026-07-19T13:23:10.192566+00:00,258.2197,937.5,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
2,tpch-q6-block-002,materialize-after-q06-time -> materialize-after-q06-predicate -> fused,0,materialize-after-q06-time,2026-07-19T13:23:10.453874+00:00,638.6516,2375.0,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
2,tpch-q6-block-002,materialize-after-q06-time -> materialize-after-q06-predicate -> fused,1,materialize-after-q06-predicate,2026-07-19T13:23:11.092649+00:00,241.929,875.0,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
2,tpch-q6-block-002,materialize-after-q06-time -> materialize-after-q06-predicate -> fused,2,fused,2026-07-19T13:23:11.335251+00:00,224.5651,812.5,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
3,tpch-q6-block-003,fused -> materialize-after-q06-predicate -> materialize-after-q06-time,0,fused,2026-07-19T13:23:11.561746+00:00,213.2994,812.5,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
3,tpch-q6-block-003,fused -> materialize-after-q06-predicate -> materialize-after-q06-time,1,materialize-after-q06-predicate,2026-07-19T13:23:11.775051+00:00,267.3445,906.25,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
3,tpch-q6-block-003,fused -> materialize-after-q06-predicate -> materialize-after-q06-time,2,materialize-after-q06-time,2026-07-19T13:23:12.042495+00:00,693.2152,2187.5,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
4,tpch-q6-block-004,materialize-after-q06-predicate -> fused -> materialize-after-q06-time,0,materialize-after-q06-predicate,2026-07-19T13:23:12.739192+00:00,340.6086,984.375,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
4,tpch-q6-block-004,materialize-after-q06-predicate -> fused -> materialize-after-q06-time,1,fused,2026-07-19T13:23:13.080004+00:00,290.3783,859.375,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
4,tpch-q6-block-004,materialize-after-q06-predicate -> fused -> materialize-after-q06-time,2,materialize-after-q06-time,2026-07-19T13:23:13.370005+00:00,675.7223,2609.375,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
5,tpch-q6-block-005,materialize-after-q06-predicate -> materialize-after-q06-time -> fused,0,materialize-after-q06-predicate,2026-07-19T13:23:14.051287+00:00,224.1135,828.125,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
5,tpch-q6-block-005,materialize-after-q06-predicate -> materialize-after-q06-time -> fused,1,materialize-after-q06-time,2026-07-19T13:23:14.275569+00:00,634.7057,2421.875,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
5,tpch-q6-block-005,materialize-after-q06-predicate -> materialize-after-q06-time -> fused,2,fused,2026-07-19T13:23:14.910906+00:00,229.0805,828.125,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
6,tpch-q6-block-006,materialize-after-q06-time -> materialize-after-q06-predicate -> fused,0,materialize-after-q06-time,2026-07-19T13:23:15.141728+00:00,580.9755,2218.75,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
6,tpch-q6-block-006,materialize-after-q06-time -> materialize-after-q06-predicate -> fused,1,materialize-after-q06-predicate,2026-07-19T13:23:15.722479+00:00,260.8302,890.625,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
6,tpch-q6-block-006,materialize-after-q06-time -> materialize-after-q06-predicate -> fused,2,fused,2026-07-19T13:23:15.983569+00:00,312.7443,1078.125,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
7,tpch-q6-block-007,materialize-after-q06-predicate -> materialize-after-q06-time -> fused,0,materialize-after-q06-predicate,2026-07-19T13:23:16.300058+00:00,303.6254,1000.0,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
7,tpch-q6-block-007,materialize-after-q06-predicate -> materialize-after-q06-time -> fused,1,materialize-after-q06-time,2026-07-19T13:23:16.603774+00:00,762.0616,2515.625,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
7,tpch-q6-block-007,materialize-after-q06-predicate -> materialize-after-q06-time -> fused,2,fused,2026-07-19T13:23:17.365801+00:00,266.6092,984.375,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
8,tpch-q6-block-008,materialize-after-q06-predicate -> fused -> materialize-after-q06-time,0,materialize-after-q06-predicate,2026-07-19T13:23:17.636025+00:00,256.6044,968.75,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
8,tpch-q6-block-008,materialize-after-q06-predicate -> fused -> materialize-after-q06-time,1,fused,2026-07-19T13:23:17.892423+00:00,219.2425,796.875,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
8,tpch-q6-block-008,materialize-after-q06-predicate -> fused -> materialize-after-q06-time,2,materialize-after-q06-time,2026-07-19T13:23:18.111423+00:00,601.089,2328.125,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
9,tpch-q6-block-009,fused -> materialize-after-q06-predicate -> materialize-after-q06-time,0,fused,2026-07-19T13:23:18.715146+00:00,211.353,796.875,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
9,tpch-q6-block-009,fused -> materialize-after-q06-predicate -> materialize-after-q06-time,1,materialize-after-q06-predicate,2026-07-19T13:23:18.927144+00:00,194.2345,718.75,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
9,tpch-q6-block-009,fused -> materialize-after-q06-predicate -> materialize-after-q06-time,2,materialize-after-q06-time,2026-07-19T13:23:19.121144+00:00,522.2672,2031.25,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
10,tpch-q6-block-010,materialize-after-q06-time -> fused -> materialize-after-q06-predicate,0,materialize-after-q06-time,2026-07-19T13:23:19.645588+00:00,619.6777,2375.0,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
10,tpch-q6-block-010,materialize-after-q06-time -> fused -> materialize-after-q06-predicate,1,fused,2026-07-19T13:23:20.265585+00:00,206.9325,812.5,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
10,tpch-q6-block-010,materialize-after-q06-time -> fused -> materialize-after-q06-predicate,2,materialize-after-q06-predicate,2026-07-19T13:23:20.472586+00:00,185.3181,734.375,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
11,tpch-q6-block-011,fused -> materialize-after-q06-time -> materialize-after-q06-predicate,0,fused,2026-07-19T13:23:20.659881+00:00,154.9967,625.0,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
11,tpch-q6-block-011,fused -> materialize-after-q06-time -> materialize-after-q06-predicate,1,materialize-after-q06-time,2026-07-19T13:23:20.815088+00:00,543.1354,2093.75,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
11,tpch-q6-block-011,fused -> materialize-after-q06-time -> materialize-after-q06-predicate,2,materialize-after-q06-predicate,2026-07-19T13:23:21.358354+00:00,262.3016,906.25,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
12,tpch-q6-block-012,fused -> materialize-after-q06-time -> materialize-after-q06-predicate,0,fused,2026-07-19T13:23:21.622606+00:00,263.8009,937.5,1,sha256:0606fc1be59a1a7f3f195deac59920c6681f839260f7d298f60cd4aa7348ab28
